"Year","Light Distillates - Liquified Petroleum Gas","Light Distillates - Petrol","Light Distillates - Naphtha","Middle Distillates - Kerosene","Middle Distillates - Aviation Turbine Fuel","Middle Distillates - High Speed Diesel Oil","Middle Distillates - Light Diesel Oil","Heavy Ends - Fuel Oils","Heavy Ends - Lubricants","Heavy Ends - Petroleum Coke","Heavy Ends - Bitumen","Others*","Total","% Annual growth 
previous year"
"2000-01",4.088,8.07,9.908,8.714,2.513,39.052,1.481,11.392,0.684,2.473,2.721,4.518,95.614,20.4054904924
"2001-02 ",4.78,9.7,9.18,9.68,2.6,39.9,1.7,12.23,0.65,2.78,2.56,4.25,100.0,4.58719434392
"2002-03 ",4.9,10.36,9.65,10.03,3.05,40.21,2.08,12.17,0.68,2.66,2.94,5.41,104.14,4.14
"2003-04",5.35,11.0,11.32,10.19,4.29,43.32,1.66,13.37,0.67,2.74,3.4,6.17,113.46,8.94949106971
"2004-05",5.57,11.06,14.1,9.3,5.2,45.9,1.55,14.97,0.65,3.16,3.35,3.78,118.58,4.51260356073
"2005-06",5.525,10.502,14.509,9.078,6.196,47.572,0.923,14.305,0.677,3.182,3.576,3.705,119.75,0.986675662
"2006-07",6.315,12.539,16.66,8.491,7.805,53.465,0.803,15.697,0.825,3.779,3.891,4.99,135.26,12.9519832985
"2007-08",6.732,14.167,16.44,7.794,9.107,58.361,0.671,15.805,0.881,4.13,4.51,6.336,144.93,7.14919414461
"2008-09",6.996,16.02,14.826,8.223,8.071,62.889,0.606,17.684,0.874,4.24,4.71,5.373,150.52,3.85703443041
"2009-10 ",8.09,22.54,17.11,8.55,9.3,73.28,0.47,18.35,0.95,4.89,3.71,12.55,179.77,19.4326335371
"2010-11(P)",7.54,26.14,17.53,7.7,9.57,78.05,0.58,20.52,0.74,4.48,2.63,14.89,190.36,5.89
