"State/Union Territory","Gullied/ Ravinous Land","Land  with/ without scrub","Water logged/ Marshy  Land","Saline/ Alkaline Area","Shifting Cultivation  Area","Deg. Notified forest land","Deg.  Pastures/ grazing land","Deg.land  under plantation crop","Sands- Inland/ costal","Mining/ Industrial waste- lands","Barren rocky area","Steep sloping area","Snow/ Glacial area","Total waste lands","Total georaphical area *","Total waste land as % of total georaphical area"
" Total",20553.36,194014.3,16568.46,20477.38,35142.21,140652.32,25978.92,5828.1,50021.65,1252.13,64584.77,7656.29,55788.49,638518.31,3166414.0,20.17
" Andhra Pradesh",692.68,20256.64,1035.02,603.26,13.8,22237.78,709.29,52.91,464.7,98.88,5196.27,388.96,"NA",51750.19,275068.0,18.81
" Arunachal Pradesh","NA",3326.78,41.47,"NA",3088.08,1416.67,2134.99,6.07,309.43,0.3,1262.36,7.93,6732.17,18326.25,83743.0,21.88
" Assam","NA",843.72,1633.56,"NA",8391.48,3112.71,2217.85,"NA",3764.54,0.43,54.88,"NA","NA",20019.17,78438.0,25.52
" Bihar",559.17,4689.93,1198.87,0.51,45.45,13066.53,164.97,79.8,222.08,184.23,688.91,97.1,"NA",20997.55,173877.0,12.08
" Goa","NA",292.83,41.02,"NA","NA",71.99,2.47,32.19,"NA",110.73,58.55,3.49,"NA",613.27,3702.0,16.57
" Gujarat",1013.39,21786.72,2656.26,7637.34,"NA",5443.02,387.45,78.32,188.42,49.66,3293.39,487.31,"NA",43021.28,196024.0,21.95
" Haryana",49.5,988.42,238.3,285.63,"NA",732.52,721.65,134.12,465.01,13.72,105.12,"NA","NA",3733.98,44212.0,8.45
" Himachal Pradesh",121.89,2056.5,15.69,1.36,"NA",4589.98,4278.17,2457.59,105.04,85.66,3858.04,1529.67,12559.42,31659.0,55673.0,56.87
" Jammu & Kashmir",21.25,4495.3,246.5,"NA","NA",2491.66,267.51,640.56,869.26,0.31,32821.5,1685.42,21904.97,65444.24,"101387.00*",64.55
" Karnataka",301.52,9087.68,32.76,125.11,"NA",8299.41,97.46,104.74,43.96,77.78,2627.89,40.97,"NA",20839.28,191791.0,10.87
" Kerala","NA",357.93,136.0,"NA","NA",609.3,3.99,25.65,27.87,0.49,146.46,140.49,"NA",1448.18,38863.0,3.73
" Madhya Pradesh",7569.11,36977.87,51.72,162.81,"NA",20437.77,302.44,910.4,24.57,141.44,2950.97,184.65,"NA",69713.75,443446.0,15.72
" Maharashtra",1700.37,31386.91,527.57,251.66,"NA",13430.67,1349.4,687.43,77.63,100.45,2587.42,1389.57,"NA",53489.08,307690.0,17.38
" Manipur","NA",1.32,324.6,"NA",12014.06,608.64,"NA","NA","NA","NA","NA","NA","NA",12948.62,22327.0,58.0
" Meghalaya","NA",4190.63,14.87,"NA",2086.77,3612.11,"NA","NA","NA","NA","NA","NA","NA",9904.38,22429.0,44.16
" Mizoram","NA","NA","NA","NA",3761.23,310.45,"NA","NA","NA","NA","NA","NA","NA",4071.68,21081.0,19.31
" Nagaland","NA",1596.46,"NA","NA",5224.65,1582.99,"NA","NA","NA","NA","NA","NA","NA",8404.1,16579.0,50.69
" Orissa",185.82,8358.68,379.1,51.49,115.28,10014.07,13.43,193.93,212.49,35.45,1574.09,207.88,"NA",21341.71,155707.0,13.71
" Punjab",168.52,339.44,352.01,173.29,"NA",353.29,113.71,81.58,619.67,26.89,"NA","NA","NA",2228.4,50362.0,4.42
" Rajasthan",4952.77,27152.76,289.66,2722.99,"NA",12541.89,12208.44,21.14,40639.51,128.65,4799.02,182.28,"NA",105639.11,342239.0,30.87
" Sikkim","NA",1073.11,"NA","NA","NA",1060.57,"NA","NA","NA","NA",10.34,"NA",1425.56,3569.58,7096.0,50.3
" Tamil Nadu",226.12,7697.91,415.8,2479.73,0.53,9634.25,168.94,221.96,590.8,120.46,1155.92,301.5,"NA",23013.9,130058.0,17.7
" Tripura","NA",286.87,0.11,"NA",400.88,588.18,"NA","NA","NA","NA","NA","NA","NA",1276.03,10486.0,12.17
" Uttar Pradesh",2806.52,5498.99,4981.43,5811.94,"NA",3338.32,446.36,50.44,470.21,29.26,1180.13,992.83,13166.37,38772.8,294411.0,13.17
" West Bengal ",171.9,1245.16,1931.54,131.25,"NA",777.58,384.97,2.93,879.13,47.34,130.46,16.24,"NA",5718.48,88752.0,6.44
"Union Territories:",12.83,25.74,24.6,39.01,"NA",289.97,5.43,46.34,47.33,"NA",83.05,"NA","NA",574.3,10973.0,5.23
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","`","","","","","","","","",""
