"","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant (2004-05) prices","","","","","","","","","","","","","","","","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant (2004-05) prices","","","","","","","","","","","","","","","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant (2004-05) prices","","","","","","","","","","","","","","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant (2004-05) prices","","","","","","","","","","","","","","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant(2004-05)prices","","","","","","","","","","","","","","","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant(2004-05)prices","","","","","","","","","","","","","","","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant(2004-05)prices","","","","","","","","","","","","","","","STATEMENT 2 : GROSS DOMESTIC PRODUCT BY ECONOMIC ACTIVITY - at constant(2004-05)prices","","","","","","","","","","","","","",""
"","","GDP at factor cost at constant (2004-05) prices (Rs. In crore)","","","","","","","","","","","","","","","","","GDP at factor cost at constant (2004-05) prices (Rs. In crore)","","","","","","","","","","","","","","","","GDP at factor cost at constant (2004-05) prices (Rs. In crore)","","","","","","","","","","","","","","","GDP at factor cost at constant (2004-05) prices (Rs. In crore)","","","","","","","","","","","","","","","growth rates in GDP at constant(2004-05) prices","","","","","","","","","","","","","","","","growth rates in GDP at constant(2004-05) prices","","","","","","","","","","","","","","","","growth rates in GDP at constant(2004-05) prices","","","","","","","","","","","","","","","growth rates in GDP at constant(2004-05) prices","","","","","","","","","","","","","",""
"Industry","","1950-51","1951-52","1952-53","1953-54","1954-55","1955-56","1956-57","1957-58","1958-59","1959-60","1960-61","1961-62","1962-63","1963-64","1964-65","1965-66","1966-67","1967-68","1968-69","1969-70","1970-71","1971-72","1972-73","1973-74","1974-75","1975-76","1976-77","1977-78","1978-79","1979-80","1980-81","1981-82","1982-83","1983-84","1984-85","1985-86","1986-87","1987-88","1988-89","1989-90","1990-91","1991-92","1992-93","1993-94","1994-95","1995-96","1996-97","1997-98","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13","1951-52","1952-53","1953-54","1954-55","1955-56","1956-57","1957-58","1958-59","1959-60","1960-61","1961-62","1962-63","1963-64","1964-65","1965-66","1966-67","1967-68","1968-69","1969-70","1970-71","1971-72","1972-73","1973-74","1974-75","1975-76","1976-77","1977-78","1978-79","1979-80","1980-81","1981-82","1982-83","1983-84","1984-85","1985-86","1986-87","1987-88","1988-89","1989-90","1990-91","1991-92","1992-93","1993-94","1994-95","1995-96","1996-97","1997-98","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"AT FACTOR COST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1.0,"Agriculture,forestry & fishing",145052.441806,147215.641082,151858.736303,163553.252822,168360.95874,166906.301163,175979.571246,168074.679266,185009.899408,183147.29358,195482.360422,195646.971119,191755.359518,196241.001028,214342.810027,190674.654503,187962.156485,215913.768641,215572.022519,229427.949067,245699.358679,241086.680652,228987.794376,245479.281333,241739.755702,272899.487215,257130.85593,282937.161277,289451.808561,252475.235982,285014.813296,298130.263864,297293.00993,327381.95842,332571.264853,333616.447447,332250.339974,326974.880381,378112.599015,382608.942918,397971.058534,390200.720438,416152.996824,429980.540878,450258.337771,447127.344544,491483.715105,478932.558649,509203.272908,522794.5567,522754.729449,554157.074279,517559.241558,564391.009572,565426.0,594487.0,619190.0,655080.0,655689.0,660987.0,713477.0,739495.0,752746.0,1.49132220701,3.15394151535,7.70091784195,2.93953549432,-0.864011222581,5.43614592155,-4.49193728776,10.0760091978,-1.00676008936,6.73505275498,0.0842074432058,-1.98909882392,2.33925222308,9.22427469502,-11.0421970867,-1.42257922246,14.870872243,-0.158278985357,6.42751614349,7.09216539547,-1.87736673463,-5.01847976132,7.2019065479,-1.52335692471,12.889783653,-5.77818281953,10.0362538185,2.3025067665,-12.7746904613,12.8882253291,4.60167330115,-0.280834935458,10.1209740845,1.58509236688,0.314273271349,-0.409484449307,-1.58779659758,15.6396474783,1.18915474256,4.01509580472,-1.95248823475,6.65100678341,3.32270683135,4.71598013525,-0.695377067783,9.92029923963,-2.5537278389,6.32045445908,2.66912734358,-0.00761814574212,6.00708957024,-6.60423450685,9.0485811582,0.183381806366,5.13966460686,4.15534738354,5.7962822397,0.0929657446419,0.808005014572,7.94115466719,3.6466487357,1.79189852534
1.1,"  Agriculture",116959.495469,118877.048079,123822.315337,134957.576986,138731.006538,136678.888832,144859.32526,137497.493163,152961.265382,150729.727549,161707.996587,161186.556842,157727.016537,160681.937734,177283.906386,153404.208822,149894.302582,175484.098235,174878.555305,187555.708673,201455.161658,196089.378477,185055.040649,200647.771085,195119.388414,222817.370562,209266.270567,235455.275777,240148.233481,208060.065093,238101.722654,249645.225221,249295.742779,276103.590029,280200.268793,280747.21524,279649.100551,274819.56989,321114.201473,322383.76662,336176.155007,328407.105365,351584.318683,362764.196633,379959.499345,376243.391425,415376.536244,403029.526558,431719.330535,442112.641424,439432.310042,467814.52042,429751.69961,476324.268093,476634.0,502996.0,523745.0,556956.0,555442.0,557715.0,606848.0,630540.0,"",1.63950143816,4.15998490708,8.99293606231,2.79601163274,-1.47920624015,5.98514993642,-5.08205604583,11.2465848387,-1.45889080312,7.28341330953,-0.322457612427,-2.14629580341,1.87344011323,10.3321934538,-13.4697492014,-2.28801169591,17.071893469,-0.345069972522,7.24911830715,7.41083973573,-2.66351238519,-5.62719812427,8.4259960612,-2.75526742301,14.1954022989,-6.08170716688,12.5146805257,1.99314187741,-13.3618173753,14.4389350005,4.8481390381,-0.139991638627,10.7534316276,1.48374701056,0.195198402097,-0.391140011131,-1.72699667226,16.8454639534,0.395362503862,4.27825151721,-2.31100556259,7.05746402563,3.17985682396,4.74007712763,-0.978027375503,10.401018519,-2.97248607205,7.11853650588,2.4074230996,-0.606255313829,6.45883557699,-8.13630598216,10.8370876777,0.0650254308325,5.53086854903,4.12508250563,6.34106292184,-0.27183475894,0.409223645313,8.80969670889,3.90410778317,""
1.2,"  Forestry & logging",40106.5194896,40013.6086337,37861.1738039,36653.3326764,38031.5103732,39564.5394965,39301.2920713,39440.6583552,39347.7474993,40741.4103387,41174.9943332,42816.4194551,42909.3303111,45417.923422,44628.1811464,50589.9610705,53083.0690388,52850.7918989,53067.5838961,52928.2176122,55498.7512937,57929.9186914,57434.3941263,55823.9392896,60686.2740849,62358.6694922,60283.6603757,53361.8016067,56257.5232841,51255.8222049,50512.5353572,51935.452427,50933.7628139,49295.8127069,49502.1995695,49794.5770788,49175.2249453,48274.7632939,48009.0062089,52760.8182995,52061.3391214,52465.7153439,51238.896227,50993.0904479,52347.6039041,52146.6301235,52934.0730809,54232.1196811,54872.4863731,57293.0642731,58835.6916128,60643.0982719,61046.0233233,60348.131164,61640.0,62742.0,64795.0,65697.0,66932.0,68877.0,70366.0,72049.0,"",-0.23166023166,-5.37925696594,-3.19018404908,3.76003379806,4.03094462541,-0.665362035225,0.354609929078,-0.235571260306,3.54191263282,1.06423413151,3.98646107559,0.216998191682,5.84626488632,-1.7388339584,13.358778626,4.92806856443,-0.437572928821,0.410196308233,-0.262620367669,4.85664131071,4.38058035714,-0.855386260358,-2.80399029388,8.71012482663,2.75580505231,-3.327539111,-11.4821474441,5.42658154382,-8.89072391963,-1.4501510574,2.81695832476,-1.92872029849,-3.21584351239,0.418670169669,0.590635389514,-1.24381442693,-1.83112868805,-0.550509348651,9.89775141335,-1.32575498383,0.776730351804,-2.33832534039,-0.47972496908,2.65626861264,-0.383921642313,1.51005531063,2.45219482382,1.18078860969,4.41127796474,2.69252021902,3.07195617082,0.664420293294,-1.14322296746,2.14069402168,1.78780012979,3.27213031143,1.39208272243,1.87984230635,2.90593438116,2.16182470201,2.39178012108,""
1.3,"  Fishing",2732.38448738,2900.83413152,3060.53314479,3126.16287627,3360.24225189,3633.6994664,4036.22848616,4130.29776795,4309.68570067,4346.87588184,4646.58498894,4777.84445191,4535.01444542,4957.23238463,5453.83068618,5453.83068618,5650.71988062,5895.73754482,6252.32575254,6403.27413495,6571.72377909,6993.94171829,7182.08028187,7387.72010719,7952.13579793,8439.98346862,8157.77562324,8157.77562324,8551.55401214,8494.67491152,8645.62329393,8720.09240039,8623.76864036,10315.7104044,11021.4784906,11385.0793427,11439.967679,11749.9814116,12813.9589074,14268.5362472,14958.8630954,15497.2472908,16821.8925652,18707.9675886,19895.8184695,20923.4396514,22623.1151993,23012.4820634,21862.7449452,23388.8510029,24486.7277937,25699.4555874,26761.5186246,27718.6103152,27152.0,28749.0,30650.0,32427.0,33315.0,34395.0,36263.0,36906.0,"",6.16493194556,5.50527903469,2.14438884918,7.4877536739,8.13802083333,11.0776640578,2.33062330623,4.34322033898,0.862944162437,6.89481630599,2.82485875706,-5.08241758242,9.31017848529,10.0176522507,0.0,3.61010830325,4.33604336043,6.04823747681,2.41427571728,2.63067987701,6.42476697736,2.69002189553,2.86323484618,7.63991708617,6.13480055021,-3.34370139969,0.0,4.8270313757,-0.66513174725,1.77697656451,0.861350349507,-1.10461857065,19.619517112,6.84168184688,3.29902065732,0.482107631218,2.70991790578,9.05514194874,11.3515061997,4.83810557894,3.59909835366,8.54761655116,11.2120263292,6.34943841568,5.16501084611,8.12330848215,1.72110189362,-4.99614563568,6.98039546973,4.69401763557,4.95259229373,4.13262854397,3.57637286571,-2.04415123537,5.8817030053,6.6124039097,5.79771615008,2.73845869183,3.24178298064,5.43102195086,1.77315721259,""
2.0,"Mining & quarrying",5138.329994,5771.6876959,5904.7667461,5993.48611291,6249.78650589,6348.36358012,6671.20349821,7104.9426248,7326.74104181,7703.79835072,8857.15011916,9367.28647827,10478.7429902,10789.260774,10944.5196659,12230.9504845,12519.2884266,12898.8101624,13263.545337,13919.0828806,12965.3496875,13307.9050204,14094.0571874,14271.495921,14978.7864286,16795.0690212,17391.4603202,17936.0986553,18422.6452733,18621.2093212,20890.9464552,23745.4297084,26568.6774971,27337.7629404,27658.2410143,29167.0340062,32738.8817753,33973.9345565,39468.0909009,42465.6756327,46909.4081353,48484.3484791,48930.6787887,49611.0331179,54218.9498129,57399.5694565,57718.0897243,63380.2654965,65170.9715582,67901.6112451,69471.9016158,70765.511887,76721.0542007,78792.3361052,85028.0,86141.0,92578.0,95997.0,98055.0,103830.0,108938.0,108249.0,108713.0,12.3261390887,2.30572160547,1.50250417362,4.27631578947,1.57728706625,5.08540372671,6.50166235685,3.12174817898,5.14631685166,14.9712092131,5.75959933222,11.8652986056,2.96331138288,1.43901324806,11.7541094348,2.35744509369,3.03149606299,2.82766526557,4.94240059457,-6.85198300283,2.64208325413,5.90740740741,1.25896135688,4.95596615438,12.1256992432,3.55099046222,3.13164234094,2.71266693658,1.077825931,12.188988883,13.6637335186,11.8896470746,2.89470728617,1.17229077795,5.45512995977,12.246180974,3.77243422564,16.171681073,7.59495750457,10.4642924819,3.35740826062,0.920565756979,1.39044531175,9.28808856697,5.86625092257,0.55491752087,9.81005400437,2.82533695253,4.18996314084,2.3125966261,1.86206256222,8.41588247559,2.69975683477,7.91404875533,1.30898057111,7.47263207996,3.69310203288,2.14381699428,5.88955178216,4.91958008283,-0.632469845233,0.42864137313
3.0,"Manufacturing",25096.0498947,25888.5025672,26789.0169678,28862.7729873,30885.0710412,33303.5954313,35804.4525666,37183.5260486,39025.7212223,41675.8064583,45133.7817565,48987.9833909,52554.0204171,57524.8599083,61502.5606605,62073.7440803,62562.5947549,62804.4471939,66283.0056784,73394.4965446,75118.3383971,77572.8833632,80614.0491388,84200.6693514,86655.2143175,88481.9721015,96241.8333361,102231.540549,114859.325343,111159.497606,111375.621062,120474.594072,124435.982775,137168.258468,142940.259023,147496.465148,155600.274215,164313.923365,178274.547607,194032.978726,203295.231277,198419.268747,204550.788182,222124.444066,246160.937188,284221.019226,311225.64493,311384.951716,321137.041377,338458.449275,363162.862666,371407.840634,396911.539071,422062.276624,453225.0,499020.0,570458.0,629073.0,656302.0,730435.0,801476.0,823023.0,838541.0,3.15767890096,3.47843371099,7.74106799846,7.00659654127,7.8307230923,7.50927070457,3.85168151768,4.9543315804,6.79061181435,8.29732065687,8.53950518755,7.27941176471,9.45853324195,6.91475087217,0.928714859438,0.787532123021,0.386576739595,5.53871364195,10.7289806692,2.34873448784,3.26757090012,3.92039800995,4.4491254947,2.91511336552,2.1080760095,8.76999127653,6.2236004919,12.3521417426,-3.22118184669,0.194426441996,8.16962717979,3.2881527706,10.2319886974,4.20797101279,3.18748976412,5.49423951207,5.60002171844,8.49631239761,8.83941725273,4.77354551403,-2.39846380047,3.09018346537,8.59134107487,10.8211832439,15.4614629247,9.50127678005,0.05118690831,3.13184359353,5.39377451541,7.29909784928,2.27032519433,6.86676360777,6.33661032185,7.38344199465,10.1042528545,14.315658691,10.2750772187,4.32843247127,11.295562104,9.72584829588,2.68841487456,1.88548801188
3.1,"  Registered",10317.2919115,10589.5041981,10638.5916596,11107.1537923,12343.2653232,13856.0516372,15400.0754268,16118.5373635,16582.6369997,18256.0731877,20581.033865,22294.482144,24466.128108,27234.3702239,29480.5957965,30447.2721577,30474.4496844,29480.5002492,31474.5469958,36941.4122105,37821.3619657,38504.144289,39730.8530904,41690.196055,42106.8732507,42532.5568735,47844.6130899,51054.3760761,56624.9908062,55434.2686187,54541.9259412,59244.8435706,64040.9383725,73809.4673264,79443.9702725,81638.5155353,85647.5241009,91372.3124295,102058.675446,114458.415429,120904.825655,119382.087405,121842.418573,135536.414914,153209.819635,177620.496078,196693.3934,191556.873627,198203.295857,208256.805065,223686.754303,234943.340946,254224.721724,272179.666115,292344.0,327739.0,379374.0,417528.0,442055.0,504601.0,559407.0,573761.0,"",2.6384083045,0.463548251159,4.40436241611,11.1289674568,12.2559652928,11.1433172303,4.66531440162,2.87929125138,10.0914962325,12.7352725495,8.32537514996,9.74073293073,11.3145901294,8.24776029003,3.27902586469,0.0892609576677,-3.26158288512,6.76395152636,17.369162503,2.38201439129,1.80528222083,3.185913683,4.93154013108,0.999460868892,1.01095994527,12.4893883813,6.70872388534,10.9111405491,-2.10282098163,-1.6097311279,8.62257345746,8.09537929864,15.2535693606,7.6338485431,2.76238115396,4.91068283066,6.68412588541,11.6954061165,12.1496187647,5.63209808727,-1.25945200425,2.06088804509,11.2391041658,13.0395987911,15.9328406635,10.7380047592,-2.61143482461,3.46968610601,5.07232191335,7.40909725985,5.03229915347,8.20682156811,7.062627218,7.40846447961,12.1073119339,15.754914734,10.0570940549,5.87433657144,14.148918121,10.8612547339,2.56593142381,""
