"Months","20-21",22.0,23.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,"Mining","Manf.","Elect.","General"
"Aug'83",86.7,94.8,102.8,79.4,86.9,132.2,104.6,123.3,132.5,129.7,115.2,94.5,87.9,109.3,111.7,116.7,88.3,135.5,108.4,122.9,113.1
"Sep'83",88.7,96.2,102.7,90.6,89.3,130.8,104.6,117.0,130.2,131.6,118.4,86.3,79.9,115.7,116.8,120.2,97.7,138.1,109.1,122.4,113.9
"Oct'83",89.4,98.7,102.7,91.8,95.2,141.1,108.2,96.6,125.7,142.0,122.8,94.9,85.8,113.5,126.3,120.3,91.4,142.3,112.7,127.0,117.7
"Nov'83",102.9,86.5,101.4,104.5,88.9,157.5,108.6,109.5,130.5,133.0,122.9,93.8,89.4,111.8,126.6,123.4,93.1,151.7,112.6,126.1,118.6
"Dec'83",151.9,93.5,106.1,121.0,96.4,183.3,110.7,117.6,130.0,145.6,137.2,100.2,93.2,126.5,178.7,134.0,100.4,169.1,127.3,134.8,132.9
"Jan'84",165.1,103.2,99.2,66.2,91.9,195.2,126.5,114.1,149.8,143.3,131.2,106.8,93.9,134.4,167.6,126.9,118.0,168.9,127.2,136.0,133.0
"Feb'84",156.8,100.1,94.3,15.7,101.3,198.4,122.0,127.9,150.2,138.4,125.8,108.4,103.2,133.7,170.8,137.9,127.8,166.0,125.2,126.5,130.0
"Mar'84",146.7,110.9,100.3,16.0,96.7,221.2,129.9,119.0,165.0,147.8,137.4,120.7,98.2,148.6,189.6,169.9,141.9,177.4,135.6,142.1,141.2
"Apr'84",119.2,127.1,99.1,65.6,84.0,196.7,119.7,133.6,139.0,124.4,122.8,94.2,79.3,115.8,105.6,107.7,100.1,152.2,110.1,130.5,117.3
"May'84",90.7,136.2,97.9,114.0,93.3,214.9,123.0,124.2,131.3,126.2,128.4,91.5,76.6,118.3,121.8,124.0,122.5,155.1,112.4,138.2,120.2
"Jun'84",82.7,128.0,101.6,114.4,86.4,201.7,128.0,134.6,142.0,133.6,137.0,93.1,80.9,124.7,164.3,132.5,129.3,147.5,119.3,132.8,124.1
"Jul'84",84.3,109.6,101.8,102.5,101.9,221.3,136.7,128.6,150.3,145.2,138.5,105.5,106.9,118.3,126.7,125.7,132.8,142.2,120.2,136.7,124.6
"Aug'84",88.9,91.7,102.4,94.1,88.2,217.6,134.9,126.0,143.7,151.7,137.5,107.9,111.3,117.3,129.8,134.7,122.6,139.7,121.7,140.1,125.9
"Sep'84",87.0,96.1,100.9,103.9,95.4,187.1,133.6,134.2,142.1,145.6,129.0,103.1,103.6,132.1,137.2,138.8,129.5,145.5,121.3,138.5,126.1
"Oct'84",88.8,101.7,100.6,96.9,83.7,189.5,130.5,135.5,128.4,146.8,134.8,102.3,124.1,118.0,124.4,116.4,108.5,148.2,117.3,141.4,123.6
"Nov'84",118.5,93.8,99.1,103.6,101.0,220.3,122.6,145.7,153.2,147.0,142.8,103.3,122.3,123.6,136.1,121.3,124.6,159.9,123.0,140.2,129.2
"Dec'84",166.2,99.1,104.3,112.5,103.5,229.1,142.8,146.0,164.2,150.9,148.0,118.4,129.1,132.4,165.3,136.8,134.4,177.4,136.1,150.5,142.4
"Jan'85",176.8,101.8,106.8,107.5,105.4,230.9,135.2,148.4,170.5,151.3,146.5,107.0,112.1,140.6,171.3,136.3,125.5,185.4,136.2,148.7,143.3
"Feb'85",165.3,115.0,106.0,92.1,102.3,244.7,133.2,144.1,149.1,141.4,136.7,125.6,109.8,131.6,171.4,139.9,123.5,175.8,133.8,135.4,138.8
"Mar'85",160.2,139.8,105.7,85.7,102.3,244.3,142.2,175.5,152.4,150.1,158.5,135.7,103.9,158.1,231.5,164.6,120.9,201.3,146.6,151.7,153.4
"Apr'85",124.4,134.7,104.4,71.9,112.3,255.3,136.1,169.7,156.9,133.2,137.3,111.1,106.6,126.0,139.1,117.0,107.5,152.4,123.3,142.8,128.9
"May'85",95.2,132.1,105.0,67.8,111.6,250.3,144.4,177.0,154.6,138.7,155.3,101.2,107.9,122.7,180.0,127.5,122.8,155.6,125.6,146.7,131.5
"Jun'85",95.3,122.9,112.6,68.9,119.5,218.2,142.2,168.8,145.0,141.7,154.0,101.7,110.2,126.5,233.9,131.9,150.0,148.6,131.6,143.2,134.8
"Jul'85",90.6,115.2,113.0,82.7,108.3,240.6,149.9,170.1,153.5,152.9,161.3,114.0,114.4,126.6,151.8,129.3,152.7,145.9,129.8,149.6,133.1
"Aug'85",87.9,101.9,118.7,90.4,124.1,248.8,145.7,175.4,154.0,159.1,156.6,110.8,114.8,125.0,159.5,132.6,153.3,145.8,131.7,151.1,135.5
"Sep'85",90.5,85.3,120.2,99.8,115.1,214.2,143.1,164.2,132.5,151.5,153.6,113.2,115.0,122.3,179.2,128.3,170.1,149.7,130.5,155.4,135.5
"Oct'85",91.7,99.1,123.1,108.2,91.9,208.0,148.2,160.6,149.6,156.6,163.6,117.1,117.0,135.1,196.6,136.3,163.2,157.5,137.0,152.5,141.1
"Nov'85",124.4,99.7,103.3,119.5,122.2,228.9,152.2,163.4,148.5,161.5,149.6,118.2,117.0,130.1,204.9,125.0,149.6,167.5,136.5,150.0,141.5
"Dec'85",178.1,102.2,107.4,123.8,126.8,193.7,153.9,183.4,164.3,164.2,169.8,127.8,122.5,137.1,325.2,141.5,170.7,184.0,155.7,159.9,159.4
"Jan'86",187.5,111.6,105.6,120.5,112.3,216.0,159.9,168.4,166.4,167.6,161.2,124.2,119.4,132.4,180.8,142.6,173.1,194.0,145.0,161.4,152.5
"Feb'86",173.6,112.4,103.7,102.5,101.4,195.5,151.9,158.1,152.4,158.4,153.2,122.6,115.0,130.4,183.1,142.6,152.8,190.0,139.5,146.8,146.1
"Mar'86",168.0,128.4,107.9,111.1,108.1,208.6,154.6,171.6,157.7,166.2,171.8,142.4,116.6,148.5,272.7,174.5,166.9,219.0,156.5,168.9,165.1
