" Year/State/ Union Territory","Geographical Area 2009","Geographical Area 2011","Actual Forest Cover 2009","Actual Forest Cover 2011","Very Dense Forest 2009","Very Dense Forest 2011","Moderately Dense 2009","Moderately Dense 2011","Open Forest 2009","Open Forest 2011","  Mangrove    2009","  Mangrove    2011","  Scrub 2009","  Scrub 2011","    Non-Forest 2009","    Non-Forest 2011"
" Andhra Pradesh",275069.0,275069.0,45102.0,90671.0,820.0,850.0,24757.0,26242.0,19525.0,19297.0,353.0,352.0,10372.0,10768.0,219595.0,173630.0
" Arunachal Pradesh",83743.0,83743.0,67353.0,113905.0,20858.0,20868.0,31556.0,31519.0,14939.0,15023.0,"NA","NA",111.0,122.0,16279.0,-30284.0
" Assam",78438.0,78438.0,27692.0,53904.0,1461.0,1444.0,11558.0,11404.0,14673.0,14825.0,"NA","NA",179.0,182.0,50567.0,24352.0
" Bihar",94163.0,94163.0,6804.0,13418.0,231.0,231.0,3248.0,3280.0,3325.0,3334.0,"NA","NA",134.0,134.0,87225.0,80611.0
" Chhattisgarh",135191.0,135191.0,55870.0,107382.0,4162.0,4163.0,35038.0,34911.0,16670.0,16600.0,"NA","NA",107.0,119.0,79214.0,27690.0
" Delhi",1483.0,1483.0,177.0,176.0,7.0,7.0,50.0,49.0,120.0,120.0,"NA","NA",1.0,0.7,1305.0,1306.3
" Goa ",3702.0,3702.0,2151.0,3859.0,511.0,543.0,624.0,585.0,1016.0,1091.0,17.0,22.0,1.0,0.0,1550.0,-157.0
" Gujarat",196022.0,196022.0,14620.0,28863.0,376.0,376.0,5249.0,5231.0,8995.0,9012.0,1046.0,1058.0,1463.0,1479.0,179939.0,165680.0
" Haryana",44212.0,44212.0,1594.0,3175.0,27.0,27.0,463.0,457.0,1104.0,1124.0,"        NA","        NA",145.0,150.0,42473.0,40887.0
" Himachal Pradesh",55673.0,55673.0,14668.0,26123.0,3224.0,3224.0,6383.0,6381.0,5061.0,5074.0,"        NA","        NA",327.0,328.0,40678.0,29222.0
" Jammu & Kashmir",222236.0,222236.0,22686.0,40927.0,4298.0,4140.0,8977.0,8760.0,9411.0,9639.0,"        NA","        NA",2036.0,2105.0,197514.0,179204.0
