"Industrial Cluster/Area","","Air ","Water","Land","CEPI"
"Ankaleshwar (Gujarat)","",72.0,72.75,75.75,88.5
"Vapi (Gujarat)","",74.0,74.5,72.0,88.09
"Bhiwadi (Rajasthan)","",71.0,69.0,59.5,82.91
"Angul Talcher (Orissa)","",64.0,69.0,65.75,82.09
"Vellore (North Arcot) (Tamil Nadu)","",69.25,65.25,62.5,81.79
"Singrauli (Uttar Pradesh)","",70.5,64.0,59.5,81.73
"Ludhiana (Punjab)","",68.0,66.0,64.75,81.66
"Nazafgarh drain basin, Delhi","",52.13,69.0,65.25,79.54
"NOIDA (Uttar Pradesh","",65.75,64.0,60.0,78.9
"Dhanbad (Jharkhand)","",64.5,59.0,65.5,78.63
"Dombivalli (Maharashtra)","",66.0,63.5,57.5,78.41
"Kanpur (Uttar Pradesh)","",66.0,63.5,56.0,78.09
"Cuddalore (Tamil Nadu)","",54.0,65.25,64.0,77.45
"Aurangabad (Maharashtra)","",64.75,60.5,59.5,77.44
"Faridabad (Haryana)","",63.5,59.0,62.75,77.07
"Agra (Uttar Pradesh)","",59.0,63.75,59.5,76.48
"Manali (Tamil Nadu)","",64.0,59.0,58.0,76.32
"Haldia (West Bengal)","",53.75,64.5,57.0,75.43
"Ahmedabad (Gujarat)","",62.75,58.0,58.0,75.28
"Jodhpur (Rajasthan)","",52.0,65.5,54.0,75.19
"Howrah (West Bengal)","",57.0,54.5,63.5,74.84
"Varanasi-Mirzapur (Uttar Pradesh)","",58.0,62.0,53.5,73.79
"Mangalore (Karnataka)","",61.75,57.75,54.0,73.68
"Tarapur (Maharashtra)","",60.75,56.0,51.25,72.01
"Indore (Madhya Pradesh)","",59.0,57.5,52.0,71.26
"Vishakhapatnam (Andhra Pradesh)","",57.0,57.5,55.0,70.82
"Junagarh (Gujarat)","",53.25,52.5,59.5,70.82
"Asansole (West Bengal)","",58.38,56.25,50.5,70.2
