"No.","Component","2007-08","2008-09","2010-11","2011-12","2011-12","Average Eleventh Plan","2012-13","2013-14","2014-15","2015-16","2016-17","Average Twelfth Plan"
1.0,"Private consumption exp",9.4,7.2,7.4,8.6,8.0,8.1,6.5,7.5,7.5,8.0,8.0,7.5
2.0,"Govt consumption exp",9.6,10.4,13.9,5.9,8.6,9.7,5.1,5.5,5.5,5.5,5.5,5.4
3.0,"Total consumption exp",9.7,7.7,8.4,8.1,8.1,8.3,6.3,6.8,7.3,7.8,7.8,7.2
