"S. No.","State/UT","Sixth Plan [1981-85]","Seventh Plan [1985-90]","Eighth Plan [1992-97]","Ninth Plan [1997-2002]","Tenth Plan [2002-2007]","Eleventh Plan (as on March 2011) [2007-2012]"
1.0,"Andhra Pradesh",6129.0,7894.0,10568.0,10568.0,12522.0,12522.0
2.0,"Arunachal Pradesh",55.0,155.0,223.0,273.0,379.0,286.0
3.0,"Assam2",1711.0,5109.0,5109.0,5109.0,5109.0,4604.0
4.0,"Bihar1 ",8299.0,14799.0,14799.0,14799.0,8909.0,9696.0
5.0,"Chhattisgarh",0.0,0.0,0.0,0.0,4692.0,5076.0
6.0,"Goa",156.0,166.0,172.0,172.0,172.0,175.0
7.0,"Gujarat",4869.0,6834.0,7274.0,7274.0,7274.0,7274.0
8.0,"Haryana",1591.0,2299.0,2299.0,2299.0,2433.0,2508.0
9.0,"Himachal Pradesh",1299.0,1851.0,1980.0,2069.0,2071.0,2067.0
10.0,"Jammu & Kashmir",609.0,1460.0,1700.0,1700.0,1888.0,1907.0
11.0,"Jharkhand",0.0,0.0,0.0,0.0,3958.0,3958.0
12.0,"Karnataka",4964.0,7793.0,8143.0,8143.0,8143.0,8870.0
13.0,"Kerala3",2270.0,5094.0,5094.0,5094.0,5094.0,4575.0
14.0,"Madhya Pradesh1",6615.0,11910.0,11938.0,11947.0,8834.0,8869.0
15.0,"Maharashtra",6391.0,9248.0,9725.0,9725.0,10453.0,10580.0
16.0,"Manipur",301.0,420.0,420.0,420.0,420.0,420.0
17.0,"Meghalaya",172.0,272.0,377.0,413.0,398.0,405.0
18.0,"Mizoram",162.0,220.0,324.0,346.0,366.0,370.0
19.0,"Nagaland",133.0,244.0,244.0,302.0,397.0,396.0
20.0,"Odisha",4127.0,5927.0,5927.0,5927.0,5927.0,6688.0
21.0,"Punjab",2602.0,2852.0,2852.0,2852.0,2858.0,2950.0
22.0,"Rajasthan",3790.0,8000.0,9400.0,9926.0,10612.0,11487.0
23.0,"Sikkim",82.0,132.0,147.0,147.0,147.0,146.0
24.0,"Tamil Nadu",5860.0,8681.0,8681.0,8682.0,8683.0,8706.0
25.0,"Tripura",230.0,506.0,537.0,539.0,579.0,632.0
26.0,"Uttarakhand",0.0,0.0,0.0,0.0,1765.0,1765.0
27.0,"Uttar Pradesh",15653.0,20153.0,20153.0,20153.0,20521.0,20521.0
28.0,"West Bengal",6100.0,7873.0,7873.0,8126.0,10356.0,10356.0
29.0,"A& N Islands",32.0,84.0,96.0,100.0,108.0,114.0
30.0,"Chandigarh",12.0,12.0,12.0,13.0,13.0,17.0
31.0,"D & N Haveli",19.0,34.0,34.0,36.0,38.0,50.0
32.0,"Daman & Diu",14.0,14.0,21.0,21.0,21.0,26.0
33.0,"Delhi",42.0,42.0,42.0,42.0,41.0,41.0
34.0,"Lakshadweep",14.0,14.0,14.0,14.0,14.0,14.0
35.0,"Puducherry",73.0,73.0,80.0,80.0,77.0,53.0
36.0,"All India Total",84376.0,130165.0,136258.0,137311.0,145272.0,148124.0
