"Year","State/U.T.","Number of sterilisations during the year","Cumulative number of sterilisations(1) - Number","Cumulative number of sterilisations(1) - Rate *","Number of IUD insertions during the year","Cumulative number of IUD insertions(1) - Number","Cumulative number of IUD insertions(1) - Rate*","No. of conventional contraceptive users during the year - Number","No. of conventional contraceptive users during the year - Rate*","","","","","","","","","",""
"2010-11(P)","GRAND TOTAL",5036486.0,169249393.0,139.9,5671048.0,160828982.0,133.3,24441102.0,16.4,"","","","","","","","","",""
"2010-11(P)","Andhra Pradesh",760742.0,21375611.0,252.4,358215.0,8336922.0,98.5,937473.0,11.5,"","","","","","","","","",""
"2010-11(P)","Arunachal Pradesh",1840.0,45854.0,33.2,2386.0,68451.0,49.5,2056.0,1.5,"","","","","","","","","",""
"2010-11(P)","Assam",72579.0,2176309.0,69.8,45046.0,1120800.0,36.0,134305.0,4.3,"","","","","","","","","",""
"2010-11(P)","Bihar",410546.0,9712482.0,93.6,207545.0,5078297.0,48.9,136380.0,1.3,"","","","","","","","","",""
"2010-11(P)","Chattisgarh",139433.0,1428378.0,55.9,105100.0,1173834.0,46.0,236188.0,9.2,"","","","","","","","","",""
"2010-11(P)","Goa",3776.0,165853.0,113.8,2171.0,87979.0,60.4,5158.0,3.5,"","","","","","","","","",""
"2010-11(P)","Gujarat",325748.0,1047469.0,172.4,599778.0,11887241.0,196.9,945443.0,15.7,"","","","","","","","","",""
"2010-11(P)","Haryana",80345.0,3363207.0,132.7,179369.0,5176390.0,204.2,272420.0,10.7,"","","","","","","","","",""
"2010-11(P)","Himachal Pradesh",23638.0,1190105.0,173.6,21220.0,1046644.0,152.6,107857.0,15.7,"","","","","","","","","",""
"2010-11(P)","Jammu & Kashmir",17002.0,707327.0,56.1,21044.0,573431.0,45.7,46496.0,3.7,"","","","","","","","","",""
"2010-11(P)","Jharkhand",115271.0,923508.0,28.0,106863.0,783801.0,23.8,205215.0,6.2,"","","","","","","","","",""
"2010-11(P)","Karnataka",329503.0,12058783.0,197.3,218733.0,8079167.0,132.2,320592.0,5.2,"","","","","","","","","",""
"2010-11(P)","Kerala",92056.0,6160926.0,184.5,49831.0,2683333.0,80.4,78692.0,2.4,"","","","","","","","","",""
"2010-11(P)","Madhya Pradesh",658005.0,13540723.0,186.5,364553.0,12863792.0,177.2,1000763.0,13.8,"","","","","","","","","",""
"2010-11(P)","Maharashtra",398246.0,22376852.0,199.1,331108.0,13222189.0,117.7,481205.0,4.3,"","","","","","","","","",""
"2010-11(P)","Manipur",1468.0,102202.0,37.5,5097.0,210653.0,77.4,5265.0,1.9,"","","","","","","","","",""
"2010-11(P)","Meghalaya",2167.0,52246.0,17.6,4021.0,63165.0,21.3,9933.0,3.4,"","","","","","","","","",""
"2010-11(P)","Mizoram",2373.0,99862.0,91.5,3067.0,66579.0,61.0,10781.0,9.9,"","","","","","","","","",""
"2010-11(P)","Nagaland",1621.0,33124.0,16.7,1857.0,48938.0,24.7,1663.0,0.8,"","","","","","","","","",""
"2010-11(P)","Orissa",108171.0,5414254.0,129.1,135206.0,4794970.0,114.3,359939.0,8.6,"","","","","","","","","",""
"2010-11(P)","Punjab",81524.0,3991823.0,144.1,220651.0,10636335.0,383.9,513365.0,18.5,"","","","","","","","","",""
"2010-11(P)","Rajasthan",337841.0,7946424.0,115.8,395603.0,6433626.0,93.8,2022830.0,29.5,"","","","","","","","","",""
"2010-11(P)","Sikkim",239.0,30617.0,50.4,1822.0,39127.0,64.4,6906.0,11.4,"","","","","","","","","",""
"2010-11(P)","Tamil Nadu",324998.0,14683053.0,203.5,346619.0,10832505.0,150.2,284028.0,3.9,"","","","","","","","","",""
"2010-11(P)","Tripura",4043.0,238397.0,64.9,1958.0,86654.0,23.6,13435.0,3.7,"","","","","","","","","",""
"2010-11(P)","Uttar Pradesh",414585.0,15890053.0,79.6,1570880.0,48318826.0,242.1,1180396.0,5.9,"","","","","","","","","",""
"2010-11(P)","Uttarakhand",24856.0,337311.0,33.3,96535.0,1218329.0,120.4,97721.0,9.7,"","","","","","","","","",""
"2010-11(P)","West Bengal",261662.0,11397474.0,124.8,76468.0,3309793.0,36.2,1234161.0,13.5,"","","","","","","","","",""
"2010-11(P)","A & N Islands",711.0,50820.0,133.7,400.0,38916.0,102.4,1266.0,3.3,"","","","","","","","","",""
"2010-11(P)","Chandigarh",2012.0,99576.0,94.4,3190.0,194624.0,184.5,14107.0,13.4,"","","","","","","","","",""
"2010-11(P)","D. & N. Haveli",1045.0,30365.0,88.5,108.0,6086.0,17.7,1564.0,4.6,"","","","","","","","","",""
"2010-11(P)","Daman & Diu",391.0,13060.0,53.7,226.0,6174.0,25.4,2826.0,11.6,"","","","","","","","","",""
"2010-11(P)","Delhi",17934.0,1285367.0,76.7,36238.0,2025900.0,120.9,118474.0,7.1,"","","","","","","","","",""
"2010-11(P)","Lakshadweep",32.0,1474.0,23.0,22.0,1973.0,30.8,70.0,1.1,"","","","","","","","","",""
"2010-11(P)","Puducherry",11218.0,310120.0,249.3,2180.0,130079.0,104.6,11648.0,9.4,"","","","","","","","","",""
"2010-11(P)","Other Agencies :","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","","","","","","","",""
"2010-11(P)","Ministry of Defence",7160.0,758264.0,"NULL",4575.0,360844.0,"NULL",25670.0,"NULL","","","","","","","","","","  "
"2010-11(P)","Ministry of Railways",1705.0,859238.0,"NULL",1325.0,336080.0,"NULL",12185.0,"NULL","","","","","","","","","",""
"2010-11(P)","Commerical distribution","         NA","NA","NA","NA","NA","NA",9016944.0,"NA","","","","","","","","","",""
