"S.No.","Name of State Road Transport Undertaking (SRTU)","Avg. Fleet Held (Number) ","Avg Fleet Operated (Number)    ","Avg Age of Fleet (Years)  ","Over aged vehicles (%)","Revenue Earning Kilometres (Lakhs) ","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","  Passenger Kilometres Offered (Lakhs) ","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","Number of Accidents  "," Number of Fatal Accidents   "
1.0,"Ahmedabad MTS",966.0,750.0,7.395,76.69,605.19,5592.0,3.47,36367.9,21149.51,2986.28,637.0,17.0
2.0,"Andhra Pradesh SRTC",21255.0,21179.0,"NA","NA",27716.0,115898.0,5.28,1417673.0,974778.0,48934.0,2868.0,990.0
3.0,"B.E.S.T. Undertaking",4078.0,3645.0,5.49,0.0,2527.35,29494.0,2.94,173319.0,127566.0,15953.0,882.0,43.0
4.0,"Bangalore Metropolitan TC",5715.0,5357.0,3.89,2.48,4417.55,30996.0,4.11,292883.56,182916.58,14708.47,565.0,94.0
5.0,"Bihar SRTC",424.0,158.0,6.78,7.25,122.58,2036.0,4.04,5883.84,3824.5,47.43,"NA","NA"
6.0,"Calcutta STC",977.0,549.0,6.09,24.73,399.0,6719.0,3.48,23116.0,19128.0,1854.0,138.0,21.0
7.0,"Chandigarh TU",409.0,386.0,3.0,13.43,409.1,2096.0,4.04,20455.0,18818.6,670.9,99.0,19.0
8.0,"Delhi TC",3841.0,3111.0,5.7,39.24,2085.89,29180.0,4.24,140417.14,95069.15,8817.08,184.0,58.0
9.0,"Gujarat SRTC",7643.0,6514.0,"NA",40.95,9785.95,40073.0,5.55,490614.79,330394.9,8482.56,985.0,212.0
10.0,"Haryana ST",3203.0,3049.0,"NA","NA",3831.7,17452.0,4.8,191585.0,143688.75,4053.25,321.0,127.0
11.0,"Karnataka SRTC",7002.0,6331.0,3.16,5.9,8428.26,31995.0,4.84,438269.52,304596.0,8634.49,1257.0,292.0
12.0,"Kolhapur MTU",135.0,126.0,10.5,"NA",110.21,690.0,3.58,6003.47,3822.43,244.63,173.0,3.0
13.0,"Maharashtra SRTC",15955.0,15039.0,4.07,0.63,18473.15,101138.0,4.96,876250.0,533655.0,23799.44,3204.0,376.0
14.0,"Meghalaya STC",62.0,36.0,8.0,48.0,26.09,344.0,4.24,913.15,542.9,5.67,1.0,1.0
15.0,"Metro.TC (Chennai) Ltd.",3262.0,2958.0,2.23,0.98,3329.29,23000.0,4.46,242701.0,194688.0,18998.0,1710.0,133.0
16.0,"Mizoram ST",54.0,32.0,6.32,43.06,9.22,650.0,3.33,295.28,156.3,0.86,0.0,0.0
17.0,"Nagaland ST",216.0,136.0,6.5,36.99,63.66,1050.0,3.75,2228.0,1538.0,15.0,0.0,0.0
18.0,"Navi Mumbai  MT",289.0,198.0,6.6,39.0,0.000467782851344,1960.0,"NA",274.15,222.61,801.18,329.0,2.0
19.0,"North Bengal STC",802.0,544.0,7.4,34.0,444.8,4273.0,4.22,22240.0,14760.39,805.31,26.0,9.0
20.0,"North Eastern Karnataka RTC",3686.0,3408.0,4.52,20.2,4336.96,18038.0,5.27,228124.1,131253.38,4116.38,"NA",102.0
21.0,"North Western Karnataka RTC",4675.0,4274.0,5.07,21.3,5210.71,21498.0,5.01,250114.0,168302.0,6935.0,"NA",142.0
22.0,"Orissa SRTC",321.0,275.0,6.1,10.0,333.66,990.0,4.46,15687.02,10820.59,51.93,34.0,2.0
23.0,"PUNBUS, Chandigarh",952.0,909.0,5.0,"NA",1287.51,"NULL",4.44,3781.06,3690.0,1677.1,74.0,30.0
24.0,"Pune Mahamandal",1614.0,1319.0,5.2,2.78,1058.5,10294.0,3.48,69209.0,36117.0,4272.97,122.0,12.0
25.0,"Punjab Roadways",717.0,646.0,14.0,90.0,253.45,6795.0,4.44,1103.8,586.36,1375.24,7.0,5.0
26.0,"Rajasthan SRTC",4602.0,4346.0,5.23,13.58,6219.31,20389.0,5.04,310965.5,223273.23,3783.93,525.0,197.0
27.0,"South Bengal STC",453.0,344.0,6.92,16.88,376.83,2416.0,4.08,18841.5,15317.07,980.49,76.0,14.0
28.0,"State Exp.TC TN Ltd.",1005.0,921.0,4.02,52.18,2053.7,6978.0,4.95,77568.25,66959.67,277.99,637.0,84.0
29.0,"Thane MTU",311.0,157.0,9.5,"NA",32.3,2497.0,3.26,1970.3,1363.64,173.35,14.0,2.0
30.0,"TN STC(Coimbatore)Ltd.",2909.0,2821.0,5.52,37.62,4385.47,18114.0,5.04,298944.81,235601.81,10882.06,1064.0,233.0
31.0,"TN STC(Kumbakonam)Ltd.",3541.0,3286.0,4.95,26.94,5794.56,22921.0,5.52,363826.9,289782.84,11872.73,1290.0,290.0
32.0,"TN STC(Madurai)Ltd.",4053.0,3895.0,5.73,39.25,6315.99,25358.0,5.44,422955.59,367047.43,15604.5,1418.0,310.0
33.0,"TN STC(Salem)Ltd.",2055.0,1958.0,3.76,15.51,3490.09,12724.0,5.44,225400.2,171108.62,6679.76,332.0,176.0
34.0,"TN STC (Villupuram) Ltd.",3237.0,3108.0,4.46,28.95,5730.46,21118.0,5.54,364062.1,306637.82,10330.13,1651.0,248.0
35.0,"Uttar Pradesh SRTC",8349.0,8020.0,"NA","NA",10502.0,33109.0,5.33,535610.0,337434.0,4774.71,924.0,377.0
"Total","All India",118768.0,109785.0,"","",140166.490468,667875.0,"",7569653.93,5336611.08,243599.82,21547.0,4621.0
