"Year","Total sold to ultimate  consumers","Domestic","Commercial","Industrial  Power at low & medium voltage","Industrial  Power at high  voltage","Public lighting              ","Traction","Agriculture","Public water works & sewage pumping","Miscellaneous  "
" 2000-01",209216.92,75628.95,22544.66,28302.46,79319.13,3421.72,8213.46,84729.26,7043.52,7396.45
" 2001-02",214717.06,79694.38,24139.78,28160.03,79135.57,3587.3,8105.65,81673.39,7369.79,10593.44
" 2002-03",227726.01,83355.08,25437.25,30572.0,84386.76,3974.92,8796.91,84485.95,7898.7,10690.7
" 2003-04",360937.24,89735.78,28201.49,32815.4,91757.68,4426.1,9210.11,87089.25,9218.95,8482.49
" 2004-05",386133.66,95659.47,31381.23,32334.67,104354.58,4967.58,9495.33,88555.35,9618.49,8866.96
" 2005-06",411886.93,100090.12,35964.59,34340.99,117215.83,5177.16,9943.89,90292.4,10258.15,8603.8
" 2006-07",455748.47,111001.63,40220.09,36018.81,135274.46,5824.68,10800.01,99023.19,10330.79,7254.81
" 2007-08",501977.11,120918.22,46684.75,40827.02,148597.02,6131.13,11108.34,104181.7,11791.17,11737.77
" 2008-09",527563.97,130056.48,53542.91,45543.01,150383.51,6141.4,11808.36,107776.09,12191.43,10120.78
