"GROUP","PRODUCT","2006-2007 QTY.","2006-2007 VALUE","2007-2008 QTY.","2007-2008 VALUE","2008-2009 QTY.","2008-2009 VALUE","2009-10 QTY.","2009-10 VALUE","2010-11 QTY.","2010-11 VALUE","2011-12 QTY.","2011-12 VALUE"
"ALKALI CHEMICALS","SODA ASH",260386.0,21394.0,355915.0,32594.0,358555.0,41202.0,555956.0,56283.0,489956.0,49573.0,445363.0,52829.0
"ALKALI CHEMICALS","CAUSTIC SODA",148977.0,23027.0,143568.0,21761.0,152446.0,27136.0,311417.0,43762.0,138481.0,20764.0,212642.0,42811.0
"ALKALI CHEMICALS","LIQUID CHLORINE",1.0,5.0,7.0,31.0,267.0,93.0,463.0,134.0,2062.0,228.0,380.0,149.0
"INORGANIC CHEMICALS","ALUMINIUM FLOURIDE",8960.0,3917.0,13286.0,6126.0,23248.0,14241.0,24140.0,10624.0,13989.0,6597.0,28448.0,20188.0
"INORGANIC CHEMICALS","CALCIUM CARBIDE",49026.0,11354.0,56000.0,14649.0,70860.0,25260.0,51598.0,16657.0,56479.0,19046.0,56500.0,21507.0
"INORGANIC CHEMICALS","CARBON BLACK",38930.0,17636.0,71638.0,29212.0,61237.0,35998.0,73920.0,38260.0,74905.0,45674.0,124338.0,85053.0
"INORGANIC CHEMICALS","POTASSIUM CHLORATE",0.0,1.0,22.0,15.0,22.0,8.0,7464.0,3693.0,7095.0,3171.0,6300.0,2991.0
"INORGANIC CHEMICALS","SODIUM CHLORATE",15255.0,3042.0,14399.0,3471.0,19175.0,6513.0,22162.0,6635.0,24762.0,6655.0,25135.0,8251.0
"INORGANIC CHEMICALS","TITANIUM DIOXIDE",17164.0,15135.0,18303.0,15407.0,14092.0,13794.0,15176.0,16563.0,18295.0,20938.0,22636.0,34902.0
"INORGANIC CHEMICALS","RED PHOSPHORUS",145.0,175.0,218.0,299.0,280.0,966.0,353.0,674.0,384.0,775.0,388.0,808.0
"ORGANIC CHEMICALS","ACETIC ACID",124464.0,32678.0,136422.0,36149.0,285037.0,69914.0,389650.0,82134.0,466097.0,96233.0,570040.0,152012.0
"ORGANIC CHEMICALS","ACETIC ANHYDRIDE",280.0,136.0,421.0,183.0,37.0,19.0,895.0,498.0,771.0,401.0,1533.0,856.0
"ORGANIC CHEMICALS","ACETONE",59826.0,21005.0,65026.0,26380.0,68364.0,27260.0,80081.0,31181.0,78236.0,32100.0,100637.0,54505.0
"ORGANIC CHEMICALS","PHENOL",68754.0,40552.0,102871.0,66153.0,92918.0,46763.0,103071.0,51907.0,123490.0,93671.0,146762.0,111194.0
"ORGANIC CHEMICALS","METHANOL",527287.0,95787.0,788816.0,112426.0,1058866.0,125780.0,822248.0,89941.0,813422.0,103539.0,1199635.0,198749.0
"ORGANIC CHEMICALS","FORMALDEHYDE",430.0,113.0,439.0,159.0,545.0,186.0,713.0,218.0,605.0,221.0,614.0,395.0
"ORGANIC CHEMICALS","NITROBENZENE",104.0,99.0,164.0,72.0,84.0,39.0,1.0,2.0,0.0,0.0,22.0,36.0
"ORGANIC CHEMICALS","CITRIC ACID",25372.0,7720.0,31197.0,10043.0,34374.0,14281.0,40467.0,14750.0,44102.0,18562.0,53142.0,25921.0
"ORGANIC CHEMICALS","MALEIC ANHYDRIDE",12055.0,6468.0,23751.0,12791.0,33009.0,18134.0,27693.0,14919.0,37973.0,24772.0,34584.0,25470.0
"ORGANIC CHEMICALS","PENTA-ERITHRITOL",6273.0,4132.0,6617.0,4937.0,6855.0,5354.0,11786.0,6659.0,13961.0,8764.0,15059.0,12162.0
"ORGANIC CHEMICALS","ANILINE",13231.0,8012.0,18736.0,10953.0,18798.0,12312.0,19067.0,9902.0,24012.0,14563.0,15310.0,10544.0
"ORGANIC CHEMICALS","CHLORO METHANES",489.0,692.0,1999.0,735.0,100.0,159.0,325.0,364.0,502.0,435.0,249.0,268.0
"ORGANIC CHEMICALS","ISOBUTYLE",16.0,15.0,0.0,0.0,2.0,10.0,36.0,26.0,0.0,0.0,0.0,0.0
"ORGANIC CHEMICALS","ONCB",5694.0,2887.0,5050.0,3568.0,5358.0,4008.0,3760.0,2180.0,3598.0,1697.0,2336.0,1092.0
"ORGANIC CHEMICALS","PNCB",100.0,30.0,1455.0,386.0,1551.0,658.0,2868.0,1027.0,1564.0,776.0,347.0,187.0
"ORGANIC CHEMICALS","MEK",17759.0,7586.0,22091.0,10332.0,20668.0,13121.0,24556.0,11352.0,21384.0,15286.0,30220.0,24334.0
"ORGANIC CHEMICALS","ACETALDEHYDE",104.0,381.0,20.0,147.0,62.0,420.0,94.0,815.0,61.0,576.0,67.0,240.0
"ORGANIC CHEMICALS","ETHANOLAMINES",581.0,396.0,576.0,440.0,577.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0
"ORGANIC CHEMICALS","ETHYL ACETATE",3724.0,1581.0,404.0,343.0,6721.0,3371.0,14929.0,6555.0,2344.0,1202.0,5008.0,2732.0
"ORGANIC CHEMICALS","MENTHOL",17.0,134.0,120.0,226.0,97.0,401.0,80.0,329.0,52.0,369.0,159.0,1051.0
"ORGANIC CHEMICALS","ORTHO NITRO TOLUENE",138.0,66.0,1002.0,374.0,2150.0,816.0,239.0,82.0,225.0,75.0,59.0,20.0
"PESTICIDES & INSECTICIDES","D.D.T.",0.0,0.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","PARATHION (METHYL)",1473.0,1217.0,623.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","DIMETHOATE",0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PESTICIDES & INSECTICIDES","ENDOSULPHAN",0.0,0.0,47.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
