"Year","OIL","JVC","ONGC","Total"
"2004-05",3196.0,74.0,8321.0,11591.0
"2005-06",3234.0,101.0,8095.0,11430.0
"2006-07",3107.0,161.0,8058.0,11326.0
"2007-08",3100.0,192.0,7921.0,11213.0
"2008-09",3468.0,243.0,7565.0,11276.0
"2009-10",3572.0,734.0,7515.0,11821.0
"2010-11",3581.694,5400.011,7447.0,16428.705
"2011-12*",3846.72,6793.79,7386.0,18026.51
