"Diesel Vehicles (GVW > 3.5 Tons) (g/kwh)","2000 #","BS II","BS III &"," 2010(BS IV)"
"Carbon Monoxide(CO)",4.5,4.0,2.1,1.5
"Hydrocarbon(HC)",1.1,1.1,0.66,0.46
"Oxide of Nitrogen (NOX)",8.0,7.0,5.0,3.5
"Hydrocarbon and Oxide of Nitrogen(HC+NOX)","NA","NA","NA","NA"
"Particulate Matter (PM) $","0.36/0.36",0.15,"0.10/0.13",0.02
"Smoke (m-1) $","NA","NA",0.8,0.5
