"Type of Reporting Entity ","STRs Received 2007-08","STRs Received 2008-09","STRs Received 2009-10","STRs Received 2010-11","STR Receipt till 31st March 2011"
"Banks",1183.0,2826.0,7394.0,12287.0,24127.0
"Financial Institutions",288.0,841.0,1655.0,7006.0,9878.0
"Intermediaries",445.0,742.0,1018.0,1405.0,3902.0
"Total",1916.0,4409.0,10067.0,20698.0,37907.0
