"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton #","Jute","Mesta","Tea","Coffee**","Natural Rubber P"," Banana","Sugar cane","Tobacco P"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" Manipur",522.0,"NA","NA",42.0,"NA","NA",5.0,"NA",569.0,"NA","NA",24.0,24.0,593.0,1.0,0.5,21.0,"NA","NA",27.0,"NA","NA","NA","NA","NA","NA",35.0,301.0,"NA",15.0,"NA",3.9,3.84,"NA",16.0
" Meghalaya#",206.7,"NA","NA",26.3,"NA",1.9,0.7,"NA",234.6,"NA",0.6,2.9,3.5,239.1,"NA",0.9,4.9,"NA","NA",7.0,"NA",34.0,18.4,"NA","NA","NA",67.0,"NA","NA",162.0,"NA",1.41,54.0,"NA",9.96
" Mizoram#",47.0,"NA","NA",14.0,"NA","NA","NA","NA",61.0,"NA","NA",6.0,6.0,67.0,"NA",0.7,"NA","NA","NA",4.0,"NA","NA","NA","NA","NA","NA",119.0,8.0,"NA",2.0,"NA",49.0,33.0,"NA",24.0
" Nagaland#",381.0,"NA",1.0,134.0,"NA",10.0,5.0,1.0,532.0,1.0,2.1,32.9,36.0,568.0,0.6,1.5,27.0,5.0,"NA",66.0,"NA",5.0,3.0,"NA","NA","NA",59.0,185.0,"NA",10.0,"NA",1.0,35.44,"NA",0.5
" Orissa ",6828.0,5.0,1.7,299.0,47.0,7.0,4.0,"NA",7191.7,33.0,124.0,270.0,427.0,7618.7,86.0,12.0,2.7,10.0,9.0,180.0,250.0,36.0,77.0,"NA","NA","NA",489.0,903.0,2.0,191.0,"NA",65.0,30.8,190.0,34.0
" Punjab",10837.0,"NA",3.0,491.0,"NA","NA",16472.0,44.0,27847.0,3.4,4.4,11.2,19.0,27866.0,4.0,2.0,41.0,"NA","NA",72.0,2100.0,"NA","NA","NA","NA","NA",10.0,4170.0,"NA",2088.0,"NA",18.0,"NA","NA","NA"
" Rajasthan",266.0,509.0,4567.0,2053.0,"NA",9.0,7215.0,955.0,15573.0,1601.0,16.0,1643.0,3260.0,18832.0,681.0,223.0,4370.0,2.0,211.0,6605.0,900.0,"NA","NA","NA","NA","NA",1.0,368.0,"NA",76.0,"NA",14.0,"NA","NA","NA"
" Sikkim ",21.0,"NA","NA",66.0,3.0,5.0,3.0,1.0,99.0,"NA","NA",12.0,12.0,110.0,"NA","NA",4.0,"NA","NA",8.0,"NA","NA","NA","NA","NA","NA",3.0,"NA","NA",46.0,"NA","NA",46.0,"NA",3.0
" Tamil Nadu",5792.0,247.0,77.0,1028.0,171.0,34.0,"NA","NA",7349.0,4.5,24.0,217.5,246.0,7595.0,896.0,25.0,"NA","NA",1.5,933.0,450.0,"NA","NA","NA","NA","NA",8253.0,34252.0,8.0,97.0,1.06,28.0,27.0,3692.0,221.0
" Tripura#",703.0,"NA","NA",4.0,"NA","NA",1.3,"NA",707.3,"NA",0.7,3.8,4.5,711.8,0.5,0.9,2.0,"NA","NA",2.5,"NA",3.8,7.0,"NA","NA","NA",125.0,47.0,"NA",110.0,"NA",4.0,8.0,8.0,7.0
