"Crop             ","Production 2006-07","Production 2007-08","Production 2008-09","Production 2009-10","Production 2010-11","Area 2006-07","Area 2007-08","Area 2008-09","Area 2009-10","Area 2010-11","Yield 2006-07","Yield 2007-08","Yield 2008-09","Yield 2009-10","Yield 2010-11"
"Total Foodgrains",158.767572678,168.626806279,171.3,159.4,178.9,128.474535022,128.847886748,127.6,126.0,131.7,123.57902105,130.872776058,134.3,126.5,135.9
"Rice",200.768950936,207.946759273,213.3,191.6,206.4,168.489801667,168.877438657,175.1,161.2,164.8,119.157924664,123.134718839,121.8,118.9,125.2
"Wheat",131.629087949,136.427568619,140.1,140.3,150.8,115.036265869,115.217483584,114.0,116.9,119.5,114.423992256,118.408738305,122.8,120.0,126.3
"Jowar",124.339437574,137.817020231,126.0,116.5,121.8,120.72082936,110.625732564,107.3,111.0,105.2,102.997501121,124.579532299,117.4,105.0,115.8
"Bajra",136.420655643,161.464389619,143.9,105.4,167.9,94.5134926299,95.1437217481,87.0,88.5,95.6,144.339873437,169.705774224,165.4,119.0,175.8
"Maize",198.758602836,249.556125072,259.8,220.1,286.0,156.101689553,160.517385939,161.6,163.4,169.1,127.326362326,155.469841233,160.7,134.7,169.1
"Ragi",56.1031052329,83.6416618746,79.3,73.4,85.2,60.1990703851,70.9207835325,70.6,64.8,65.8,93.1959661071,117.936742529,112.2,113.2,129.6
"Small millets",53.916886339,61.9099860443,50.0,42.9,82.0,50.8600758467,52.3201255394,45.6,41.8,45.0,106.010235811,118.329200104,109.7,102.7,182.4
"Barley",88.0838751935,79.3411575563,112.0,89.9,110.3,72.7709489391,67.8609932385,79.5,70.2,79.4,121.042636488,116.917176967,141.0,127.9,138.9
"Coarse Cereals",138.504998415,166.382709091,163.5,137.0,178.4,106.421152898,105.580777139,101.8,102.6,105.4,130.147996562,157.588070101,160.7,133.5,169.2
"Cereals",164.131538125,174.580583711,177.7,164.4,183.1,129.998096487,129.892304249,130.3,126.8,129.8,126.256878032,134.404100936,136.4,129.7,141.1
"Gram",140.572155181,127.586259418,156.540967353,165.9,182.5,122.269311931,123.08184102,128.8,133.3,149.9,114.969286209,103.659693713,121.7,124.5,121.7
"Arhar",96.9577499054,128.876169109,94.9,103.3,119.9,99.6726309208,104.267825776,94.5,97.0,122.2,97.2762021125,123.601089933,100.4,106.5,98.1
"Other Pulses",139.147838876,148.858626486,131.4,118.4,179.5,131.343500287,133.803444719,117.1,126.1,139.1,105.941929804,111.251714631,112.2,93.9,129.0
"Total Pulses",130.266991678,135.441887492,133.7,134.5,167.4,122.107331956,124.43083414,116.3,122.6,139.0,106.682366727,108.849135689,114.9,109.7,120.4
"Total Non-Food grains ",155.420679802,156.8,141.2,143.2,168.4,126.565791869,128.6,131.5,126.7,136.5,122.798330818,122.0,107.4,113.1,123.4
"Total Oilseeds",148.157047916,150.9,140.8,135.9,169.0,124.817121593,126.196637314,129.0,126.1,134.0,118.699298642,119.6,109.1,107.8,126.1
"Groundnut",115.186595407,217.477313113,169.8,128.6,195.7,124.139190734,139.104163433,136.3,121.1,129.5,92.7882602798,156.341340004,124.6,106.2,151.2
"Sesamum",95.4650237634,116.845854603,98.8,90.8,137.9,74.1815421687,78.3583915663,78.8,84.6,90.7,128.691074589,149.117219314,125.4,107.4,151.9
"Rapeseed &Mustard",138.700601756,108.785370729,134.3,123.2,152.5,107.04303366,91.8378781423,99.3,88.1,108.8,129.574617809,118.453706607,135.2,139.9,140.2
"Linseed",55.9430918281,54.4437236731,56.4,51.2,48.8,47.8890918252,51.3340345132,44.8,37.5,39.4,116.818026185,106.057753281,126.0,136.5,123.9
"Castor seed",124.689843185,172.337949337,191.6,165.0,220.9,91.7028999065,114.83292797,126.4,107.2,128.5,135.971537772,150.077118456,151.5,153.9,171.9
"Safflower",67.2684466019,62.8454692557,53.0,50.1,42.1,55.7775088738,47.3886899,43.6,42.6,36.1,120.601382098,132.617021885,121.5,117.5,116.7
"Niger seed",65.1259233449,58.9850174216,63.0,53.8,58.0,75.7172439069,65.8045812718,63.5,60.6,59.9,86.0120099261,89.6366427407,99.2,88.8,96.9
"Sunflower",161.308757062,192.269525424,152.2,111.8,85.6,174.957164162,154.493770793,146.5,119.3,75.1,92.1990007296,124.451312462,103.9,93.7,114.0
"Soyabean",253.208664573,313.784434714,283.4,285.1,364.4,222.740098828,237.529354613,254.532987212,260.3,256.8,113.678976486,132.103434216,111.4,109.5,141.9
"Nine Oilseeds",147.102150805,180.204888876,167.9,150.7,196.7,126.051354155,126.906666463,131.0,123.4,129.4,116.700174934,141.997968979,128.1,122.1,152.0
"Coconut",142.73973249,91.4,91.4,97.5,97.7,123.534744761,121.391638904,121.391638904,120.9,120.9,115.546223669,75.3,75.3,80.7,80.8
"Cotton seed",186.071397998,212.811242036,183.2,197.5,271.3,121.696817702,125.279384636,125.18090397,134.8,149.5,152.897505054,169.869322598,146.3,146.5,181.5
"Total Fibers",186.055889128,203.545726249,179.1,196.6,239.3,118.268338983,121.691440678,120.9,129.4,141.9,157.316734747,167.2,148.2,152.0,168.6
"Cotton(lint)",213.149451684,243.780067088,209.8,226.2,310.8,121.673695368,125.255581616,125.157119661,134.8,149.5,175.181209907,194.626110824,167.6,167.8,207.9
"Jute",220.33044539,218.25892789,205.8,239.8,213.8,103.58530288,106.354893523,102.6,106.0,101.1,212.704350197,205.217569836,200.5,226.3,211.5
"Mesta",81.6552549428,84.6023271214,62.4,50.1,52.2,67.1637905237,69.0530673317,54.5,44.5,46.6,121.576305188,122.51784083,114.6,112.7,112.0
"Jute & Mesta",200.699214826,199.586494083,184.5,210.4,189.1,95.723554391,98.3032074449,92.2,92.7,89.3,209.665443477,203.031517761,200.1,227.0,211.8
"Sannhamp ",97.8747371347,93.0,87.8,69.0,109.9,54.1620437956,51.3886861314,45.0,45.0,47.6,180.707244919,182.685834124,195.2,179.4,230.9
"Tea ",132.170056917,132.8,132.0,132.0,132.0,135.332866153,137.8,137.8,137.8,137.8,97.6629407726,96.3,95.8,95.8,95.8
"Coffee ",138.018659658,139.8,139.9,154.5,161.1,117.947826087,119.8,121.9,123.7,125.4,117.01670496,116.7,114.8,125.0,128.5
"Rubber ",215.5439447,208.6,216.5,210.1,210.1,98.6393809815,138.1,143.8,149.2,149.2,218.517130335,151.1,151.9,140.9,140.9
"Total Spices",1427.67071987,1571.45047656,1463.0,1430.3,1790.6,121.338248817,125.945485376,126.5,122.0,136.6,1176.60402535,1247.72275232,1156.8,1172.1,1310.8
"Black pepper",134.196755625,91.5,92.2,99.2,101.1,130.771773261,104.723737123,126.9,104.2,97.8,102.61905324,87.4,72.7,95.2,103.4
"Dry chilies ",163.452993909,170.795942995,167.1,158.3,160.9,83.6197002141,88.2871520343,85.4,84.0,86.8,195.471872645,193.4,195.8,188.4,185.5
"Dry ginger ",206.288842172,200.625599937,199.3,202.0,368.1,176.201535001,172.880111155,180.4,179.4,247.4,117.075507981,116.048976713,110.5,112.6,148.8
"Turmeric ",158.59206118,160.123962127,165.5,159.8,200.2,134.290264853,131.882820329,136.2,136.2,146.7,118.096469132,121.413813965,121.5,117.4,136.4
"Arecanut  ",182.463854157,184.3,185.5,184.3,184.3,167.65801973,169.543295579,169.7,175.4,175.4,108.830972984,108.735218421,109.3,105.1,105.1
"Cardamom ",159.156223176,135.840343348,157.1,159.2,162.2,93.3701505194,77.7767648929,87.5,85.8,82.7,170.457284572,174.654144505,179.6,185.6,196.1
"Coriander",126.440390879,167.864258217,131.3,128.5,261.3,79.1127494288,94.8,97.9,88.8,130.7,159.823026999,177.169417307,134.1,144.7,199.9
"Garlic  ",226.153512397,311.3,242.1,243.0,308.2,187.586764706,241.6,195.8,194.4,236.8,120.559418332,128.790206687,123.6,125.0,130.1
"Total Fruits & Vegetables",162.553516188,184.921729534,241.9,240.3,274.5,139.328020786,144.980870739,173.8,170.9,188.3,116.669651425,127.549054293,139.2,140.6,145.7
"Potato",135.740323321,174.229792442,210.5,223.8,259.1,142.174475495,148.754498715,175.1,175.8,178.4,95.4744674442,117.125729943,120.2,127.4,145.2
"Tapioca",146.381075373,151.476366335,167.1,140.0,140.3,105.137566138,103.948412698,114.8,95.1,90.6,139.228137716,145.722635298,145.6,147.1,154.8
"Sweet potato  ",81.0696472799,79.2946451448,94.2,92.1,88.1,75.8118012422,75.3850931677,88.4,84.6,80.4,106.935392579,105.186107508,106.6,108.8,109.6
"Onion",240.46311992,247.307513684,367.1,329.1,409.1,207.683262126,208.363608947,246.8,223.6,314.7,115.783581912,118.690358136,148.8,147.1,130.0
"Banana  ",189.30699387,201.139322128,298.8,301.7,339.4,117.617461383,131.247481531,174.8,189.8,204.6,160.951436669,153.251947985,171.0,159.0,165.9
"Sugarcane",149.817596463,146.727943052,120.1,123.2,144.3,142.604468421,139.957697593,122.2,115.6,135.2,105.058136062,104.837351268,98.3,106.6,106.7
"Tobacco",88.05453125,83.629765625,96.4,105.3,140.9,88.8362365591,83.9183010753,94.2,107.1,118.8,99.1200603049,88.3,102.4,109.6,118.6
"Guar seed",214.742121118,328.45829438,355.5,108.9,362.0,162.30283765,168.6,187.5,145.1,165.1,132.309529659,194.917909938,189.6,75.1,219.2
