"State/Union Territory"," 2008-09 MEN"," 2009-10 MEN"," 2008-09 WOMEN"," 2009-10 WOMEN"," 2008-09 TOTAL"," 2009-10 TOTAL"
" Andhra Pradesh",2263.0,8221.0,947.0,3549.0,3210.0,11770.0
" Arunachal Pradesh",22.0,18.0,16.0,15.0,38.0,33.0
" Assam",440.0,603.0,339.0,447.0,779.0,1050.0
" Bihar",1245.0,1924.0,680.0,738.0,1925.0,2662.0
"Chhatisgarh",98.0,453.0,163.0,691.0,261.0,1144.0
" Goa",8.0,15.0,21.0,21.0,29.0,36.0
" Gujarat",1132.0,2067.0,782.0,1042.0,1914.0,3109.0
" Haryana",866.0,647.0,746.0,698.0,1612.0,1345.0
" Himachal Pradesh",1608.0,1969.0,1223.0,1477.0,2831.0,3446.0
" Jammu & Kashmir",335.0,546.0,321.0,436.0,656.0,982.0
"Jharkhand",237.0,237.0,133.0,133.0,370.0,370.0
" Karnataka",658.0,939.0,483.0,601.0,1141.0,1540.0
" Kerala",741.0,858.0,755.0,942.0,1496.0,1800.0
" Madhya Pradesh",2804.0,2780.0,"NA",1855.0,2804.0,4635.0
" Maharashtra",5774.0,5030.0,3735.0,2959.0,9509.0,7989.0
" Manipur",480.0,478.0,470.0,411.0,950.0,889.0
" Meghalaya",331.0,308.0,308.0,317.0,639.0,625.0
" Mizoram",118.0,185.0,126.0,164.0,244.0,349.0
" Nagaland",97.0,97.0,78.0,78.0,175.0,175.0
"Odisha",438.0,447.0,222.0,258.0,660.0,705.0
" Punjab",576.0,942.0,923.0,1164.0,1499.0,2106.0
" Rajasthan",550.0,490.0,745.0,650.0,1295.0,1140.0
" Sikkim",4.0,4.0,"NA"," NA",4.0,4.0
" Tamil Nadu",11391.0,11600.0,8621.0,8832.0,20012.0,20432.0
" Tripura",16.0,13.0,9.0,6.0,25.0,19.0
" Uttar Pradesh",8252.0,4669.0,5097.0,3557.0,13349.0,8226.0
" Uttrakhand",831.0,144.0,562.0,124.0,1393.0,268.0
" West Bengal",2054.0,2685.0,1208.0,1499.0,3262.0,4184.0
" A & N Islands",6.0,5.0,3.0,1.0,9.0,6.0
" Chandigarh",305.0,11.0,337.0,7.0,642.0,18.0
" D & N Haveli",0.0,0.0,"NA"," NA","NA"," NA"
" Daman & Diu",0.0,0.0,"NA"," NA","NA"," NA"
" Delhi",2358.0,5948.0,2820.0,4568.0,5178.0,10516.0
" Lakshadweep",0.0,0.0,"NA"," NA","NA"," NA"
" Puducherry",285.0,422.0,192.0,216.0,477.0,638.0
"TOTAL",46323.0,54775.0,32065.0,37436.0,78388.0,92211.0
