"Major Groups","Products","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13 (April to Sep.)"
"SYNTHETIC FIBRES / YARN","Polyester Filament Yarn (PFY)   ",1194.0,1350.0,1262.0,1345.0,1496.0,1490.0,748.0
"SYNTHETIC FIBRES / YARN","Nylon Filament Yarn (NFY)     ",32.0,28.0,28.0,30.0,33.0,30.0,11.0
"SYNTHETIC FIBRES / YARN","Nylon Industrial Yarn (NIY)    ",72.0,84.0,69.0,88.0,86.0,88.0,41.0
"SYNTHETIC FIBRES / YARN","Polypropylene Filament Yarn (PPFY)",10.0,10.0,9.0,9.0,6.0,7.0,3.0
"SYNTHETIC FIBRES / YARN","Dry Spun) (AF)",107.0,85.0,78.0,91.0,76.0,76.0,37.0
"SYNTHETIC FIBRES / YARN","Polyester Staple Fibre (PSF)",785.0,919.0,843.0,980.0,1037.0,953.0,485.0
"SYNTHETIC FIBRES / YARN","Polypropylene Staple Fibre (PPSF)",4.0,3.0,3.0,3.0,4.0,4.0,2.0
"SYNTHETIC FIBRES / YARN","Polyester Staple Fibrefil (PSFF)",47.0,45.0,51.0,54.0,53.0,49.0,24.0
"POLYMERS","Linear Low Density Polyethylene (LLDPE)",772.0,837.0,817.0,683.0,897.0,1033.0,515.0
"POLYMERS","High Density Polyethylene (HDPE)",958.0,974.0,942.0,856.0,887.0,1119.0,596.0
"POLYMERS","Low Density Polyethylene (LDPE)",195.0,198.0,191.0,193.0,179.0,194.0,101.0
"POLYMERS","Polyestyrene (PS)",285.0,274.0,240.0,270.0,296.0,288.0,143.0
"POLYMERS","Polypropylene (PP)",2001.0,1978.0,1771.0,1617.0,1684.0,2209.0,1200.0
"POLYMERS","Poly Vinyl Chloride (PVC)",926.0,998.0,1051.0,1110.0,1278.0,1296.0,601.0
"POLYMERS","Expandable Polystyrene (EX-PS)",46.0,44.0,49.0,63.0,71.0,72.0,42.0
"SYNTHETIC RUBBER","Styrene Butadiene Rubber (SBR)",13.0,17.0,13.0,19.0,12.0,9.0,4.0
"SYNTHETIC RUBBER","Poly Butadiene Rubber (PBR)",72.0,74.0,72.0,73.0,76.0,79.0,39.0
"SYNTHETIC RUBBER","Nitrile Butadiene Rubber (NBR)",10.0,13.0,11.0,13.0,6.0,0.0,0.0
"SYNTHETIC  DETERGENT INTERMEDIATES","Linear Alkyl Benzene (LAB)",460.0,471.0,434.0,464.0,475.0,454.0,218.0
"SYNTHETIC  DETERGENT INTERMEDIATES","Ethylene Oxide (EO)",96.0,114.0,117.0,154.0,164.0,169.0,87.0
"PERFORMANCE PLASTICS","ABS Resin",74.0,78.0,68.0,84.0,90.0,89.0,46.0
"PERFORMANCE PLASTICS","Nylon-6 & Nylon 66",14.0,14.0,12.0,13.0,17.0,14.0,7.5
"PERFORMANCE PLASTICS","Polymethyl Methacrylate (PMMA)",3.0,3.0,2.0,3.0,3.0,3.0,1.5
"PERFORMANCE PLASTICS","Styrene Acrylonitrile (SAN)",41.0,61.0,58.0,72.0,82.0,77.0,41.0
"TOTAL BASIC MAJOR PETROCHEMICALS","",8217.0,8672.0,8191.0,8287.0,9008.0,9802.0,4993.0
