"S.No.","Name of SRTU ","Avg. Fleet Held (Number)","Avg Fleet Operated (Number)","Avg Age of Fleet (Yrs)","% of Overage vehicles to total Fleet","Revenue Earning KMS (Lakhs)","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","Passenger KMS Offered (Lakhs)","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","No.of Accidents  ","No. of Fatal Accidents"
1.0,"Ahmedabad MTS",743.0,410.0,10.94,46.0,298.58,5138.0,3.65,19499.32,11151.18,1407.72,46.0,8.0
2.0,"Andhra Pradesh SRTC",19157.0,19017.0,"NA","NA",22358.0,122358.0,5.24,1183633.0,745688.0,112.31,2196.0,677.0
3.0,"B.E.S.T. Undertaking",3380.0,3075.0,9.91,22.96,2376.73,36634.0,3.03,178255.0,101871.0,15609.0,715.0,35.0
4.0,"Bangalore Metropolitan TC",2774.8,2655.9,5.11,11.89,2215.76,14368.0,4.6,93061.95,88874.13,9581.25,414.0,65.0
5.0,"Calcutta STC",1136.0,800.0,6.15,20.85,655.65,8374.0,3.7,23000.0,21840.56,2210.63,211.0,19.0
6.0,"Gujarat SRTC",9097.0,7793.0,5.0,24.76,10199.0,50324.0,5.3,521322.0,351736.0,12734.0,1601.0,250.0
7.0,"Haryana ST",3474.0,3364.0,4.0,4.0,3948.68,18799.0,4.54,205331.0,146401.0,4010.61,430.0,155.0
8.0,"Himachal RTC",1742.0,1717.0,"NA",11.71,712.23,7834.0,3.57,"NA",32763.0,"NA",162.0,48.0
9.0,"Kadamba TCL",369.0,292.0,6.37,36.0,277.18,1926.0,4.26,15524.88,8686.17,242.0,119.0,6.0
10.0,"Karnataka SRTC",4270.0,4047.0,4.42,7.0,5366.23,23655.0,5.02,305875.0,208975.0,6310.62,948.0,182.0
11.0,"Kolhapur MTU",128.0,113.0,7.8,20.0,100.8,773.0,3.61,5259.21,3501.32,349.33,109.0,2.0
12.0,"Madhya Pradesh  SRTC",2146.0,1760.0,9.14,46.0,1718.0,11204.0,4.05,83233.8,50801.75,690.0,232.0,69.0
13.0,"Maharashtra SRTC",16488.0,15513.0,6.05,17.05,17656.4,105702.0,4.76,1145459.0,540565.0,22417.3,3531.0,448.0
14.0,"Metro.TC (Chennai) Ltd.",2781.0,2272.0,6.14,6.85,2072.78,19936.0,3.54,151313.0,119384.0,12806.0,1099.0,124.0
15.0,"Mizoram ST",63.33,32.67,8.91,60.35,13.69,831.0,2.75,499.61,235.89,1.38,"NA","NA"
16.0,"Nagaland ST",169.0,83.0,6.75,45.61,35.87,1043.0,3.5,13.26,9.68,3.42,6.0,2.0
17.0,"Navi Mumbai MT",176.0,143.0,5.25,"-",158.54,1088.0,3.23,9213.32,6796.25,590.38636,114.0,5.0
18.0,"North Bengal STC",849.0,520.0,7.01,61.0,455.18,5983.0,3.7,22759.0,13327.45,751.63,120.0,12.0
19.0,"North West Karnataka RTC",3580.2,3440.7,"NA",18.7,4408.54,21330.0,5.13,265835.0,158543.0,4927.5,637.0,125.0
20.0,"Orissa SRTC",265.0,240.0,6.2,26.0,266.09,1602.0,4.16,12775.2,8814.89,70.07,38.0,7.0
