"S. No. ","State or Union Territory","PG- No. of Colleges - Govt","Exclusive PG- No. of Colleges - Govt","PG- Admission Capacity - Govt","Exclusive PG- Admission Capacity  - Govt","PG- No. of Colleges - Others","Exclusive PG- No. of Colleges - Others","PG- Admission Capacity - Others","Exclusive PG- Admission Capacity - Others","PG- Per College Average 
admission capacity","Exclusive PG- Per College Average 
admission capacity"
1.0," Andhra Pradesh ",2.0,"NA",40.0,50.0,1.0,"NA",23.0,"NA",21.0,"NA"
2.0,"Assam",1.0,"NA",12.0,"NA",0.0,"NA",0.0,"NA",12.0,"NA"
3.0," Bihar ",1.0,"NA",8.0,"NA",0.0,"NA",0.0,"NA",8.0,"NA"
4.0," Chhattisgarh  ",1.0,"NA",17.0,"NA",0.0,"NA",0.0,"NA",17.0,"NA"
5.0," Delhi  ",1.0,"NA",6.0,"NA",0.0,"NA",0.0,"NA",6.0,"NA"
6.0," Gujarat  ",2.0,1.0,61.0,50.0,0.0,0.0,0.0,0.0,30.5,50.0
7.0," Himachal Pradesh  ",1.0,"NA",39.0,"NA",0.0,"NA",0.0,"NA",39.0,"NA"
8.0," Jammu and  Kashmir  ",0.0,"NA",0.0,"NA",0.0,"NA",0.0,"NA","","NA"
9.0," Karnataka  ",3.0,"NA",59.0,"NA",17.0,"NA",400.0,"NA",22.95,"NA"
10.0," Kerala",3.0,"NA",98.0,"NA",1.0,"NA",2.0,"NA",25.0,"NA"
11.0," Madhya Pradesh  ",1.0,"NA",5.0,"NA",2.0,"NA",43.0,"NA",16.0,"NA"
12.0," Maharashtra  ",3.0,"NA",69.0,"NA",21.0,"NA",446.0,"NA",21.4583333333,"NA"
13.0," Orissa  ",3.0,"NA",13.0,"NA",0.0,"NA",0.0,"NA",4.33333333333,"NA"
14.0," Rajasthan  ",1.0,"NA",74.0,"NA",0.0,"NA",0.0,"NA",74.0,"NA"
15.0," Uttar Pradesh  ",2.0,"NA",53.0,"NA",1.0,"NA",10.0,"NA",21.0,"NA"
16.0,"West Bengal",1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0
