"As on","Wind Power","Small Hydro Power","Biomass Power","Waste to Energy","Solar Power","Total"
"31.03.2008",8757.4,2180.85,1406.63,55.75,2.12,12402.75
"31.03.2009",10242.3,2180.85,1752.33,59.0,2.12,14486.58
"31.03.2010",11929.25,2735.42,2199.63,64.96,10.28,16817.04
"31.03.2011",14155.85,3042.92,2664.63,72.48,35.15,19970.76
