"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay","Andhra-Pradesh-Expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay","Arunachal-Pradesh-Expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay","Assam-Expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay","Bihar-Expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay","Chhatisgarh-Expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay","Goa-Expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay","Gujarat-Expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay","Haryana-Expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay","Himachal-pradesh-Expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay","Jammu-Kashmir-Expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay","Jharkhand-Expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay","Karnataka-Expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay","Kerala-Expenditure","MP-Approved-Outlay","MP-Revised-Outlay","MP-Expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay","Maharashtra-Expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay","Manipur-Expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay","Meghalaya-Expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay","Mizoram-Expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay","Nagaland-Expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay","Orissa-Expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay","Punjab-Expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay","Rajasthan-Expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay","Sikkim-Expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay","TamilNadu-Expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay","Tripura-Expenditure","UP-Approved-Outlay","UP-Revised-Outlay","UP-Expenditure","Uttrakhand-Approved-Outlay","Uttrakhand-Revised-Outlay","Uttrakhand-Expenditure","WB-Approved-Outlay","WB-Revised-Outlay","WB-Expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay","Total-States-Expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay","AandN-Islands-Expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay","Chandigarh-Expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay","DandN-Haveli-Expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay","DandDiu-Expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay","Delhi-Expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay","Lakshadweep-Expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay","Puducherry-Expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay","Total-UTs-Expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay","Total-States-UTs-Expenditure"
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","1. Crop Husbandry",78327.33,78327.33,112197.0,5200.0,4603.84,4604.0,28300.0,34505.0,27711.32,33042.0,33437.08,26454.05,28092.63,28092.63,26819.19,1172.8,1172.8,1642.47,74243.0,74243.0,79021.0,13238.0,16394.0,15416.75,1568.0,2793.65,5354.0,1753.22,1753.22,1867.18,2630.0,2630.0,2092.0,77057.0,77701.0,60069.18,9624.0,9624.0,6212.58,64424.11,64424.11,41610.95,76803.0,76803.0,97818.0,1306.0,1091.0,1091.0,2880.0,3320.0,2779.97,11880.0,11880.0,2267.0,683.0,795.0,462.0,8620.0,10545.28,10427.45,14037.4,11871.0,6980.13,35005.06,40955.0,41353.16,1730.85,2080.85,2055.76,61555.85,79042.0,84771.0,8192.1,6809.81,4802.91,90735.0,64161.0,48596.34,8489.88,8489.88,9018.9,16209.0,27938.51,25598.45,756799.23,775483.99,749093.74,2070.0,2070.0,1302.74,5.0,5.0,5.0,155.0,155.0,167.54,155.0,155.0,113.07,0.0,0.0,0.0,546.0,546.0,598.1,2786.25,2107.76,2097.14,5717.25,5038.76,4283.59,762516.48,780522.75,753377.33
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","2. Horticulture",0.0,0.0,0.0,1000.0,725.58,726.0,550.0,0.0,222.97,1455.0,991.53,746.22,3597.8,3597.8,2313.46,468.51,468.51,269.01,6000.0,6000.0,5599.84,2000.0,2000.0,2086.43,880.0,1756.73,0.0,492.32,492.32,519.27,1782.0,1782.0,1646.0,15797.0,0.0,16922.34,0.0,0.0,0.0,9968.72,9968.72,9854.13,24169.0,24169.0,19743.0,700.0,275.0,274.98,3100.0,2500.0,2038.87,700.0,700.0,787.01,736.0,740.0,740.0,1470.0,1830.0,1485.05,0.0,0.0,0.0,4045.01,2800.0,0.0,730.35,1281.32,1130.2,0.0,0.0,0.0,1344.0,1405.8,1462.04,8257.0,7985.0,6196.88,3072.73,3072.73,0.0,2403.5,2397.0,1771.0,94718.94,76939.04,76534.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,494.95,430.17,416.51,499.95,435.17,420.51,95218.89,77374.21,76955.21
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","3. Soil and Water Conservation (including control of shifting cultivation)",0.0,0.0,0.0,1200.0,487.38,487.0,1000.0,1000.0,1000.0,700.0,753.39,753.38,0.0,0.0,0.0,190.4,190.4,365.21,24925.0,24925.0,25852.61,985.0,985.0,1783.37,4473.0,5767.4,6108.0,4395.0,4395.0,630.88,1018.0,1018.0,705.0,14592.0,7332.0,7841.75,2770.0,2770.0,1434.83,678.0,678.0,751.52,67463.0,67463.0,35815.0,125.0,980.0,979.96,3400.0,3450.0,3352.93,300.0,300.0,340.65,1706.0,1706.0,1614.0,1342.5,1585.34,1699.4,4150.0,1663.0,934.62,20.19,20.19,20.16,136.3,136.3,154.79,9536.01,5408.0,2722.0,137.2,137.2,138.26,60189.0,34342.0,34779.52,9600.0,9600.0,8998.81,612.0,250.3,853.42,215643.6,177342.9,140117.07,150.0,150.0,82.85,0.0,0.0,0.0,209.0,209.0,210.93,115.0,115.0,114.49,0.0,0.0,0.0,101.0,101.0,0.0,0.0,0.0,0.0,575.0,575.0,408.27,216218.6,177917.9,140525.34
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","4. Animal Husbandry",2197.62,2197.62,3941.91,800.0,1358.63,1359.0,2645.0,2645.0,917.11,7800.0,7471.19,6953.06,5862.91,5862.91,5350.56,791.08,791.08,574.44,11126.0,11126.0,9329.28,6000.0,6000.0,5174.02,1759.1,2119.03,2325.0,1540.9,1540.9,1697.39,2600.0,2600.0,2040.0,20285.0,19265.0,19265.15,7415.0,7415.0,7430.81,7400.42,7400.42,2371.61,9779.0,9779.0,5227.0,360.0,360.0,359.8,2240.0,1240.0,1326.97,600.0,600.0,679.43,2714.0,2767.0,2824.77,3450.0,4665.17,3686.74,3690.2,3135.86,1059.11,1573.45,1573.45,1997.71,856.44,1356.44,1356.48,1578.98,2261.0,2690.0,2164.1,2216.1,2071.58,6176.0,4031.0,4354.37,1577.96,1577.96,1379.79,6198.0,7654.98,5856.7,121181.16,121010.74,103599.79,898.0,898.0,996.81,28.0,28.0,27.7,67.0,67.0,67.84,54.0,54.0,48.96,0.0,0.0,0.0,503.0,503.0,510.35,3016.0,2069.51,2065.74,4566.0,3619.51,3717.4,125747.16,124630.25,107317.19
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","5. Dairy Development",0.0,0.0,0.0,50.0,39.71,40.0,1348.0,1348.0,1019.0,3367.5,3307.38,3252.7,0.0,0.0,0.0,822.9,822.9,1003.33,1350.0,1350.0,1139.64,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,5900.0,5900.0,4610.0,22640.0,21740.0,21740.0,1050.0,1050.0,1198.3,0.0,0.0,4521.74,588.0,588.0,160.0,40.0,40.0,40.0,520.0,520.0,526.64,50.0,50.0,50.03,0.0,0.0,0.0,25.0,143.0,142.49,1249.0,1249.0,0.0,0.01,0.01,0.0,90.05,90.05,93.99,2341.32,1409.0,799.0,67.4,4.4,3.83,1181.0,956.0,1039.4,1054.89,1054.89,1492.82,1105.0,1070.0,1070.0,44890.07,42782.34,43992.91,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,596.2,596.19,557.0,603.2,598.19,45447.07,43385.54,44591.1
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","6. Fisheries",1421.25,1421.25,205.26,300.0,494.75,495.0,2614.0,2614.0,2611.7,2832.5,2416.0,2010.07,1518.16,1518.16,1437.32,1384.03,1384.03,1306.61,6000.0,6000.0,5140.29,900.0,900.0,852.87,247.9,289.28,288.0,850.0,850.0,849.92,2200.0,2200.0,1430.0,9310.0,8512.0,8511.82,5000.0,5000.0,7550.14,1920.0,1920.0,1132.84,9028.0,9028.0,6247.0,360.0,764.0,713.72,760.0,700.0,664.31,600.0,600.0,653.81,500.0,634.25,634.25,1600.0,2066.0,1025.33,566.0,474.76,0.18,35.65,22.0,28.81,70.78,70.78,70.78,10180.42,5879.0,8494.0,1415.58,1598.58,1590.72,999.0,312.0,310.7,439.71,439.71,353.7,9286.0,9414.4,9338.62,72338.98,67522.95,63947.77,750.0,750.0,651.25,13.0,13.0,9.23,0.0,0.0,0.0,157.0,157.0,176.37,0.0,0.0,0.0,1105.0,1105.0,904.59,2791.0,2691.0,2403.33,4816.0,4716.0,4144.77,77154.98,72238.95,68092.54
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","7. Plantations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,31000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,550.0,539.66,0.0,0.0,0.0,200.0,0.0,200.02,0.0,0.0,0.0,0.0,0.0,26285.17,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.82,404.06,402.93,0.0,0.0,0.0,0.0,0.0,0.0,67.15,67.15,118.19,32160.97,32021.21,58630.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32160.97,32021.21,58630.96
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","8. Food,Storage & Warehousing",0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,4350.0,4350.0,5455.12,0.0,0.0,0.0,2565.0,2565.0,2565.0,0.0,0.0,0.0,0.0,0.0,0.0,111.5,111.5,66.5,0.0,0.0,0.0,1800.0,1800.0,1800.0,13523.0,13523.0,50.0,0.0,0.0,853.0,26444.0,26444.0,19619.0,4.0,4.0,4.0,20.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,276.64,33.25,33.25,33.24,852.21,852.0,350.0,211.0,200.0,225.02,0.0,0.0,303.6,0.0,0.0,0.0,1398.0,1386.2,607.8,51511.96,52388.95,32453.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51511.96,52388.95,32453.92
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","9. Agricultural Research & Education",31116.92,31116.92,34369.69,150.0,20.0,20.0,5600.0,0.0,5599.8,3821.0,3821.0,4131.0,1000.0,1000.0,375.0,27.0,27.0,14.91,11848.0,11848.0,10738.74,3400.0,3500.0,3379.07,7822.0,8422.0,8443.0,5433.5,5433.5,5405.18,2350.0,2350.0,1670.0,12080.0,10475.0,10475.0,0.0,0.0,3275.0,2091.3,2091.3,2090.28,3947.0,3947.0,3961.0,13.0,13.0,13.0,70.0,70.0,59.81,17.0,17.0,0.0,102.0,0.0,103.0,1380.0,1480.0,1480.0,500.0,2000.0,2000.0,753.97,753.97,753.97,23.75,23.75,23.74,12139.48,12139.0,18523.0,400.0,74.69,53.5,17878.0,12802.0,17586.36,882.0,882.0,387.79,1512.0,1512.0,675.03,126357.92,115819.13,135606.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.4,1186.67,1205.41,1160.4,1186.67,1205.41,127518.32,117005.8,136812.28
"I","2009-10","AGRICULTURE & ALLIED ACTIVITIES","10. Agricultural Financial Institutions",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,700.0,700.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,650.02,400.02,316.25,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,455.2,1836.03,1766.02,1536.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.03,1766.02,1536.45
