State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,04/12/2001,500,660,605
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,04/14/2001,535,650,603
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,04/19/2001,590,662,626
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,04/27/2001,585,610,0
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,04/28/2001,570,620,0
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,05/11/2001,580,625,0
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,05/12/2001,600,670,0
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,05/22/2001,565,710,0
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,05/23/2001,570,670,0
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,09/19/2001,600,610,605
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,09/21/2001,600,610,605
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,09/22/2001,590,606,598
Chandigarh,Chandigarh,Chandigarh (F&V),Wheat,Other,09/25/2001,600,605,602
Gujarat,Rajkot,Gondal,Wheat,Sona,11/28/2001,666,666,666
Gujarat,Rajkot,Gondal,Wheat,Sona,11/29/2001,891,926,926
Gujarat,Rajkot,Gondal,Wheat,Sona,12/03/2001,920,935,920
Gujarat,Rajkot,Gondal,Wheat,Sona,12/05/2001,795,990,825
Gujarat,Rajkot,Gondal,Wheat,Sona,12/11/2001,880,900,880
Gujarat,Rajkot,Gondal,Wheat,Sona,12/12/2001,845,885,875
Gujarat,Rajkot,Gondal,Wheat,Sona,12/13/2001,825,875,825
Gujarat,Rajkot,Gondal,Wheat,Sona,12/14/2001,855,855,855
Gujarat,Rajkot,Gondal,Wheat,Sona,12/18/2001,685,901,901
Gujarat,Rajkot,Gondal,Wheat,Sona,12/20/2001,770,950,840
Gujarat,Rajkot,Gondal,Wheat,Sona,12/21/2001,855,1000,905
Gujarat,Rajkot,Gondal,Wheat,Sona,12/22/2001,785,785,785
Gujarat,Rajkot,Gondal,Wheat,Sona,12/26/2001,800,945,870
Gujarat,Rajkot,Gondal,Wheat,Sona,12/27/2001,895,895,895
Gujarat,Rajkot,Gondal,Wheat,Sona,12/28/2001,860,900,900
Gujarat,Rajkot,Gondal,Wheat,Sona,12/31/2001,900,900,900
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/07/2001,690,810,775
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/09/2001,690,805,790
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/10/2001,690,790,740
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/11/2001,690,810,720
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/12/2001,680,800,735
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/13/2001,680,800,720
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/14/2001,680,790,715
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/17/2001,650,790,730
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/18/2001,650,785,715
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/19/2001,675,790,710
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/23/2001,650,790,710
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/24/2001,660,790,750
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/25/2001,655,780,710
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/26/2001,650,790,720
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,07/27/2001,640,795,690
