State/UT/Agency,Achievements 2009-10# Total No. of live births reported,Achievements 2009-10# Number of newborns weighed at Birth,Achievements 2010-11# Total No. of live births reported,Achievements 2010-11# Number of newborns weighed at Birth
Arunachal Pradesh,"9,817","9,353","11,091","10,463"
Assam,"501,287","412,727","493,321","413,646"
Manipur,"31,932","30,156","33,760","32,513"
Meghalaya,"66,750","45,079","70,184","49,414"
Mizoram,"23,708","22,155","22,107","20,942"
Nagaland,"15,281","11,323","16,984","12,207"
Sikkim,"6,821","5,486","8,072","6,355"
Tripura,"45,205","39,940","47,879","41,920"
Bihar,"1,144,453","769,757","1,236,691","1,003,383"
Chhattisgarh,"580,908","546,320","579,130","553,840"
Himachal Pradesh,"104,924","96,413","102,226","96,901"
Jammu & Kashmir,"170,087","95,882","148,094","100,403"
Jharkhand,"525,171","421,167","579,980","477,571"
Madhya Pradesh,"1,593,565","1,386,171","1,584,870","1,459,905"
Orissa,"551,559","415,755","630,398","471,886"
Rajasthan,"1,336,273","1,137,940","1,383,257","1,032,336"
Uttar Pradesh,"4,171,563","3,314,548","4,221,962","3,614,029"
Uttarakhand,"133,233","105,135","128,321","112,448"
Andhra Pradesh,"1,560,902","1,421,973","1,511,673","1,437,082"
Goa,"19,328","19,232","20,085","20,023"
Gujarat,"1,058,869","1,006,741","1,181,961","1,101,136"
Haryana,"510,111","457,276","508,036","454,755"
Karnataka,"909,577","862,794","845,674","788,208"
Kerala,"491,207","462,235","378,829","374,724"
Maharashtra,"1,576,034","1,367,098","1,546,056","1,327,092"
Punjab,"382,100","355,222","391,337","369,608"
Tamil Nadu,"1,092,433","1,069,805","1,069,853","1,056,968"
West Bengal,"1,422,559","1,202,555","1,462,731","1,294,429"
A & N Islands,"5,918","5,652","2,984","1,515"
Chandigarh,"21,905","20,004","22,241","21,603"
Dadra & Nagar Haveli,"8,274","7,127","8,877","8,119"
Daman & Diu,0,NA,"1,524","1,480"
Delhi,"172,606","146,449","179,082","156,187"
Lakshadweep,511,441,480,434
Puducherry,"41,397","38,816","42,276","40,347"
M/O Defence^,0,"1,263",NA,NA
M/O Railways,NA,NA,NA,NA
All India Total,"20,286,268","17,309,990","20,472,026","17,963,872"
